"rt","key_press","reward","type","marble","trial_num","stim_1","stim_2","change_index","block","changed","marble_set"
"10483.900000095367","d","2","1","2","1","65","15","0","0","0","3"
"308.2000000476837","f","3","1","0","2","54","18","0","0","0","3"
"59.60000014305115","d","2","1","2","3","96","78","0","0","0","3"
"12","d","2","1","2","4","46","40","0","0","0","3"
"92.09999990463257","d","3","1","0","5","64","41","0","0","0","3"
"53.299999952316284","f","2","1","2","6","15","69","0","0","0","3"
"85.29999995231628","f","3","1","0","7","71","98","0","0","0","3"
"213.5","f","2","1","2","8","35","34","0","0","0","3"
"5.199999809265137","f","2","1","2","9","26","24","0","0","0","3"
"334.5","d","2","1","2","10","55","81","0","0","0","3"
"5","f","3","1","0","11","81","80","0","0","0","3"
"12133.799999952316","d","2","1","2","12","16","73","0","0","0","3"
"1084.7999999523163","f","2","1","2","13","31","4","0","0","0","3"
"533.2999999523163","d","4","1","1","14","10","14","0","0","0","3"
"53.299999952316284","d","3","1","0","15","8","70","0","0","0","3"
"85.39999985694885","f","3","1","0","16","80","49","0","0","0","3"
"196.5","d","2","1","2","17","44","49","0","0","0","3"
"156.79999995231628","f","2","1","2","18","52","92","0","0","0","3"
"164.80000019073486","d","2","1","2","19","83","92","0","0","0","3"
"309.2999999523163","d","2","1","2","20","18","6","0","0","0","3"
"13148.400000095367","j","3","0","0","21","71","69","1","0","0","3"
"164.70000004768372","j","0","0","-1","22","16","56","0","0","1","3"
"141.5","j","0","0","-1","23","77","40","1","0","1","3"
"221.20000004768372","j","3","0","0","24","51","28","0","0","0","3"
"76","j","0","0","-1","25","25","57","0","0","1","3"
"228.90000009536743","j","3","0","0","26","25","71","0","0","0","3"
"212.70000004768372","j","3","0","0","27","21","14","1","0","0","3"
"85","j","3","0","0","28","86","45","1","0","0","3"
"165.10000014305115","j","3","0","0","29","68","55","0","0","0","3"
"108.40000009536743","j","0","0","-1","30","30","90","1","0","1","3"
"4.200000047683716","k","3","0","0","31","89","22","1","0","1","3"
"140.59999990463257","k","0","0","-1","32","96","6","0","0","0","3"
"132","k","0","0","-1","33","21","16","1","0","0","3"
"44.89999985694885","j","0","0","-1","34","74","97","1","0","1","3"
"83","k","3","0","0","35","66","54","0","0","1","3"
"156.89999985694885","k","3","0","0","36","85","53","0","0","1","3"
"292.2999999523163","j","3","0","0","37","32","13","0","0","0","3"
"210.70000004768372","j","3","0","0","38","41","96","0","0","0","3"
"293.59999990463257","j","3","0","0","39","48","83","1","0","0","3"
"189.19999980926514","j","0","0","-1","40","19","60","1","0","1","3"
"10388.299999952316","","","","","","","","","","",""
"6661.700000047684","","","","","","","","","","",""
"4686.700000047684","","","","","","","","","","",""
"2938.2999999523163","","","","","","","","","","",""
"null","null","-1","1","-1","45","29","25","1","0","0","3"
"null","null","-1","0","-1","46","3","47","0","0","0","3"
"null","null","-1","1","-1","47","12","76","0","0","1","3"
"10.5","d","3","1","0","48","47","46","1","0","1","3"
"null","null","-1","0","-1","49","62","95","0","0","1","3"
"142.5","j","0","0","-1","50","3","83","1","0","1","3"
"1961","d","3","1","0","51","14","56","1","0","0","3"
"64.29999995231628","f","3","1","0","52","31","53","0","0","1","3"
"null","null","-1","0","-1","53","19","93","1","0","1","3"
"1102.2999999523163","d","2","1","2","54","9","73","0","0","0","3"
"455.7000000476837","f","2","1","2","55","71","85","0","0","1","3"
"1181.2999999523163","j","3","0","0","56","71","46","1","0","0","3"
"296.40000009536743","j","0","0","-1","57","11","4","1","0","1","3"
"null","null","-1","0","-1","58","51","97","0","0","0","3"
"77.60000014305115","d","3","1","0","59","60","8","1","0","1","3"
"158.20000004768372","d","2","1","2","60","60","49","1","0","0","3"
"null","null","-1","0","-1","61","73","28","1","0","0","3"
"null","null","-1","1","-1","62","15","2","0","0","1","3"
"null","null","-1","0","-1","63","2","14","0","0","0","3"
"158.80000019073486","j","3","0","0","64","2","28","0","0","0","3"
"1416.5","j","3","0","0","65","15","68","0","1","0","3"
"174","j","3","0","0","66","9","91","1","1","0","3"
"null","null","-1","1","-1","67","74","82","0","1","1","3"
"61","f","2","1","2","68","13","71","0","1","1","3"
"null","null","-1","0","-1","69","96","42","1","1","0","3"
"null","null","-1","1","-1","70","73","32","1","1","0","3"
"null","null","-1","1","-1","71","41","39","0","1","0","3"
"null","null","-1","0","-1","72","7","46","0","1","1","3"
"null","null","-1","1","-1","73","4","28","1","1","1","3"
"null","null","-1","1","-1","74","61","88","1","1","0","3"
"null","null","-1","1","-1","75","47","6","0","1","0","3"
"168.20000004768372","d","2","1","2","76","21","56","1","1","1","3"
"null","null","-1","0","-1","77","60","26","0","1","1","3"
"null","null","-1","1","-1","78","21","18","1","1","0","3"
"null","null","-1","0","-1","79","39","67","1","1","1","3"
"159.70000004768372","j","3","0","0","80","54","71","1","1","0","3"
"551","j","3","0","0","81","79","25","0","1","0","3"
"null","null","-1","1","-1","82","84","69","0","1","1","3"
"null","null","-1","0","-1","83","89","7","1","1","1","3"
"291.90000009536743","k","3","0","0","84","18","35","0","1","1","3"
"1391.2999999523163","d","2","1","2","85","90","67","1","2","1","3"
"166.70000004768372","f","2","1","2","86","23","16","0","2","1","3"
"1101.7000000476837","d","3","1","0","87","36","0","1","2","0","3"
"1910.2999999523163","j","3","0","0","88","5","97","1","2","0","3"
"null","null","-1","1","-1","89","50","81","0","2","0","3"
"587.7999999523163","f","2","1","2","90","42","48","1","2","0","3"
"470.5","f","2","1","2","91","17","80","0","2","1","3"
"142","d","2","1","2","92","11","8","0","2","1","3"
"null","null","-1","0","-1","93","15","0","0","2","1","3"
"null","null","-1","0","-1","94","89","10","0","2","0","3"
"null","null","-1","0","-1","95","77","47","0","2","0","3"
"null","null","-1","0","-1","96","91","48","0","2","0","3"
"null","null","-1","1","-1","97","39","90","0","2","1","3"
"null","null","-1","1","-1","98","40","37","0","2","0","3"
"29.899999856948853","k","3","0","0","99","95","70","1","2","1","3"
"275.39999985694885","k","0","0","-1","100","18","31","1","2","0","3"
"53.89999985694885","j","0","0","-1","101","10","98","1","2","1","3"
"303.89999985694885","j","0","0","-1","102","43","86","1","2","1","3"
"119.10000014305115","k","0","0","-1","103","46","47","1","2","0","3"
"null","null","-1","1","-1","104","50","62","1","2","1","3"
"null","null","-1","1","-1","105","98","50","1","3","0","3"
"null","null","-1","1","-1","106","47","95","0","3","0","3"
"null","null","-1","0","-1","107","86","62","1","3","0","3"
"null","null","-1","0","-1","108","62","95","1","3","1","3"
"null","null","-1","1","-1","109","32","18","0","3","1","3"
"null","null","-1","0","-1","110","33","9","0","3","1","3"
"null","null","-1","0","-1","111","28","58","0","3","1","3"
"null","null","-1","1","-1","112","49","93","0","3","0","3"
"null","null","-1","1","-1","113","81","4","1","3","1","3"
"null","null","-1","1","-1","114","55","90","0","3","0","3"
"null","null","-1","1","-1","115","70","66","0","3","1","3"
"null","null","-1","1","-1","116","69","9","0","3","1","3"
"null","null","-1","1","-1","117","95","19","1","3","0","3"
"223.70000004768372","j","3","0","0","118","63","79","1","3","0","3"
"110.5","k","0","0","-1","119","47","1","1","3","0","3"
"0.2999999523162842","k","3","0","0","120","23","5","1","3","1","3"
"null","null","-1","1","-1","121","15","0","0","3","1","3"
"null","null","-1","0","-1","122","41","73","0","3","0","3"
"null","null","-1","0","-1","123","92","44","1","3","0","3"
"null","null","-1","0","-1","124","50","81","1","3","1","3"
"null","null","-1","0","-1","125","7","19","1","4","0","3"
"null","null","-1","1","-1","126","42","29","1","4","0","3"
"42.90000009536743","k","3","0","0","127","65","72","0","4","1","3"
"null","null","-1","1","-1","128","65","67","1","4","0","3"
"null","null","-1","0","-1","129","8","52","1","4","1","3"
"null","null","-1","1","-1","130","16","39","0","4","1","3"
"null","null","-1","1","-1","131","91","92","1","4","0","3"
"null","null","-1","1","-1","132","30","92","0","4","1","3"
"null","null","-1","0","-1","133","65","93","1","4","1","3"
"null","null","-1","0","-1","134","3","8","0","4","1","3"
"null","null","-1","0","-1","135","38","85","0","4","0","3"
