"rt","key_press","reward","type","marble","trial_num","stim_1","stim_2","change_index","block","changed","marble_set"
"6762","f","2","1","2","1","35","46","0","0","0","3"
"1817","d","2","1","2","2","13","88","0","0","0","3"
"1464","d","2","1","2","3","35","76","0","0","0","3"
"835","f","4","1","1","4","56","12","0","0","0","3"
"1050","f","2","1","2","5","62","76","0","0","0","3"
"1164","f","3","1","0","6","35","73","0","0","0","3"
"637","d","3","1","0","7","74","39","0","0","0","3"
"559","d","2","1","2","8","85","65","0","0","0","3"
"650","f","3","1","0","9","30","31","0","0","0","3"
"668","f","2","1","2","10","78","3","0","0","0","3"
"524","d","4","1","1","11","10","11","0","0","0","3"
"504","f","3","1","0","12","33","88","0","0","0","3"
"963","d","2","1","2","13","26","95","0","0","0","3"
"758","f","2","1","2","14","28","25","0","0","0","3"
"88","d","2","1","2","15","20","70","0","0","0","3"
"704","f","4","1","1","16","63","96","0","0","0","3"
"595","d","2","1","2","17","90","33","0","0","0","3"
"631","f","2","1","2","18","84","74","0","0","0","3"
"632","d","4","1","1","19","23","91","0","0","0","3"
"680","f","3","1","0","20","63","69","0","0","0","3"
"17337","k","3","0","0","21","76","42","1","0","1","3"
"1828","j","0","0","-1","22","56","15","1","0","1","3"
"2491","k","0","0","-1","23","23","6","0","0","0","3"
"1738","k","0","0","-1","24","72","41","1","0","0","3"
"1373","j","0","0","-1","25","40","38","0","0","1","3"
"779","k","3","0","0","26","53","75","0","0","1","3"
"710","j","3","0","0","27","11","69","0","0","0","3"
"733","k","3","0","0","28","62","68","0","0","1","3"
"1261","k","3","0","0","29","87","88","1","0","1","3"
"1257","j","3","0","0","30","40","18","1","0","0","3"
"941","k","0","0","-1","31","84","30","0","0","0","3"
"1337","k","0","0","-1","32","13","46","0","0","0","3"
"665","j","0","0","-1","33","11","49","1","0","1","3"
"637","k","3","0","0","34","48","90","0","0","1","3"
"654","k","3","0","0","35","80","81","0","0","1","3"
"667","k","3","0","0","36","88","59","1","0","1","3"
"1086","k","0","0","-1","37","48","96","1","0","0","3"
"635","j","3","0","0","38","59","76","1","0","0","3"
"651","j","3","0","0","39","86","83","1","0","0","3"
"723","j","3","0","0","40","62","76","0","0","0","3"
"7836","","","","","","","","","","",""
"7157","","","","","","","","","","",""
"null","null","-1","1","-1","43","20","28","1","0","0","3"
"1402","j","0","0","-1","44","12","28","1","0","1","3"
"978","k","0","0","-1","45","19","64","1","0","0","3"
"null","null","-1","1","-1","46","89","98","0","0","1","3"
"1635","d","3","1","0","47","26","2","1","0","1","3"
"735","d","2","1","2","48","43","29","0","0","1","3"
"889","f","2","1","2","49","8","85","0","0","1","3"
"null","null","-1","0","-1","50","13","49","1","0","1","3"
"1200","f","2","1","2","51","64","46","0","0","0","3"
"795","d","2","1","2","52","18","5","0","0","0","3"
"null","null","-1","0","-1","53","52","34","0","0","1","3"
"1088","d","2","1","2","54","71","10","1","0","0","3"
"1400","k","0","0","-1","55","55","32","0","0","0","3"
"888","d","2","1","2","56","80","2","1","0","1","3"
"894","d","2","1","2","57","31","13","1","0","1","3"
"1267","j","3","0","0","58","41","19","1","0","0","3"
"1360","k","0","0","-1","59","87","96","0","0","0","3"
"1100","j","0","0","-1","60","49","73","0","0","1","3"
"1200","k","0","0","-1","61","50","26","0","0","0","3"
"1092","j","3","0","0","62","27","84","1","0","0","3"
"941","d","3","1","0","63","22","29","1","1","0","3"
"1312","j","3","0","0","64","64","29","0","1","0","3"
"1459","j","3","0","0","65","85","56","0","1","0","3"
"1527","j","0","0","-1","66","30","41","0","1","1","3"
"1134","f","2","1","2","67","94","8","1","1","1","3"
"1244","j","0","0","-1","68","94","63","1","1","1","3"
"1332","j","3","0","0","69","30","10","1","1","0","3"
"985","f","3","1","0","70","85","96","0","1","1","3"
"1155","j","0","0","-1","71","67","61","0","1","1","3"
"998","f","2","1","2","72","43","28","1","1","1","3"
"1101","j","3","0","0","73","52","41","0","1","0","3"
"1019","f","3","1","0","74","5","23","0","1","1","3"
"761","f","2","1","2","75","79","0","1","1","1","3"
"958","d","3","1","0","76","20","1","1","1","0","3"
"1137","k","3","0","0","77","11","91","1","1","1","3"
"936","f","2","1","2","78","5","30","1","1","0","3"
"1089","f","2","1","2","79","98","40","0","1","0","3"
"1031","f","2","1","2","80","98","89","0","1","1","3"
"1637","k","0","0","-1","81","1","68","0","1","0","3"
"955","k","0","0","-1","82","81","95","1","1","0","3"
"1230","k","3","0","0","83","68","88","1","2","1","3"
"1017","j","3","0","0","84","18","33","0","2","0","3"
"1134","j","3","0","0","85","84","90","0","2","0","3"
"null","null","-1","1","-1","86","61","50","0","2","1","3"
"1147","f","2","1","2","87","61","53","0","2","1","3"
"937","j","3","0","0","88","39","18","1","2","0","3"
"1006","j","3","0","0","89","60","95","0","2","0","3"
"1132","j","3","0","0","90","93","68","0","2","0","3"
"1405","d","2","1","2","91","87","17","0","2","1","3"
"1028","j","3","0","0","92","84","11","1","2","0","3"
"705","f","2","1","2","93","78","14","1","2","0","3"
"1383","f","2","1","2","94","3","37","1","2","1","3"
"999","j","0","0","-1","95","6","25","1","2","1","3"
"1012","f","2","1","2","96","61","7","1","2","0","3"
"957","d","2","1","2","97","8","21","0","2","0","3"
"1125","k","3","0","0","98","30","91","1","2","1","3"
"1008","f","2","1","2","99","67","8","1","2","1","3"
"1176","j","0","0","-1","100","40","61","0","2","1","3"
"null","null","-1","1","-1","101","64","47","1","2","1","3"
"860","f","3","1","0","102","42","20","0","2","0","3"
"1333","k","0","0","-1","103","30","70","0","3","0","3"
"976","d","2","1","2","104","59","5","1","3","0","3"
"1220","k","3","0","0","105","68","71","1","3","1","3"
"1903","k","0","0","-1","106","65","81","0","3","0","3"
"1117","f","2","1","2","107","14","32","1","3","1","3"
"1029","j","3","0","0","108","4","36","1","3","0","3"
"1231","d","3","1","0","109","73","49","0","3","1","3"
"1043","f","3","1","0","110","47","58","1","3","0","3"
"1221","k","0","0","-1","111","17","16","1","3","0","3"
"1070","f","2","1","2","112","33","73","1","3","1","3"
"null","null","-1","1","-1","113","7","86","0","3","1","3"
"972","f","2","1","2","114","99","43","1","3","0","3"
"1341","j","0","0","-1","115","60","20","0","3","1","3"
"1405","j","3","0","0","116","67","60","0","3","0","3"
"1033","f","3","1","0","117","68","72","0","3","0","3"
"1213","j","3","0","0","118","55","84","0","3","0","3"
"1190","j","0","0","-1","119","17","16","0","3","1","3"
"1012","f","2","1","2","120","38","42","1","3","1","3"
"1148","j","0","0","-1","121","95","29","1","3","1","3"
"1006","f","2","1","2","122","67","88","0","3","1","3"
"1152","j","0","0","-1","123","73","67","0","4","1","3"
"1749","f","2","1","2","124","71","48","1","4","1","3"
"1121","f","2","1","2","125","11","71","1","4","0","3"
"899","d","4","1","1","126","61","63","1","4","1","3"
"1166","k","3","0","0","127","80","47","0","4","1","3"
