"rt","key_press","reward","type","marble","trial_num","stim_1","stim_2","change_index","block","changed","marble_set"
"634","f","2","1","0","1","16","70","0","0","0","4"
"43","f","2","1","0","2","21","25","0","0","0","4"
"100","f","3","1","2","3","94","98","0","0","0","4"
"150","f","2","1","0","4","51","16","0","0","0","4"
"657","f","2","1","0","5","62","75","0","0","0","4"
"694","f","3","1","2","6","5","90","0","0","0","4"
"2722","f","2","1","0","7","79","62","0","0","0","4"
"190","f","3","1","2","8","96","81","0","0","0","4"
"75","f","2","1","0","9","92","15","0","0","0","4"
"27","d","2","1","0","10","72","74","0","0","0","4"
"15","d","4","1","1","11","7","48","0","0","0","4"
"3","f","2","1","0","12","45","56","0","0","0","4"
"166","f","3","1","2","13","40","81","0","0","0","4"
"45","f","2","1","0","14","80","66","0","0","0","4"
"10","d","2","1","0","15","25","30","0","0","0","4"
"24","d","2","1","0","16","2","68","0","0","0","4"
"40","d","3","1","2","17","20","66","0","0","0","4"
"20","f","2","1","0","18","77","25","0","0","0","4"
"0","f","3","1","2","19","99","6","0","0","0","4"
"111","f","3","1","2","20","32","98","0","0","0","4"
"2652","j","3","0","2","21","86","83","0","0","0","4"
"88","j","3","0","2","22","38","39","1","0","0","4"
"50","k","3","0","2","23","66","21","0","0","1","4"
"44","k","3","0","2","24","81","27","1","0","1","4"
"57","k","0","0","-1","25","76","11","0","0","0","4"
"84","k","3","0","2","26","76","66","1","0","1","4"
"33","j","0","0","-1","27","4","8","1","0","1","4"
"184","j","3","0","2","28","11","60","0","0","0","4"
"527","j","0","0","-1","29","98","41","1","0","1","4"
"30","j","3","0","2","30","2","81","0","0","0","4"
"141","k","3","0","2","31","66","5","1","0","1","4"
"114","k","0","0","-1","32","84","71","0","0","0","4"
"19","j","0","0","-1","33","38","84","0","0","1","4"
"0","j","0","0","-1","34","24","51","1","0","1","4"
"230","j","3","0","2","35","5","56","0","0","0","4"
"335","j","0","0","-1","36","89","78","1","0","1","4"
"29","k","0","0","-1","37","82","63","1","0","0","4"
"288","k","3","0","2","38","96","85","1","0","1","4"
"90","k","0","0","-1","39","94","96","0","0","0","4"
