"rt","key_press","reward","type","marble","trial_num","stim_1","stim_2","change_index","block","changed","marble_set"
"10229","d","2","1","1","1","35","9","0","0","0","2"
"40061","d","2","1","1","2","90","27","0","0","0","2"
"4599","d","2","1","1","3","90","42","0","0","0","2"
"2199","d","2","1","1","4","72","71","0","0","0","2"
"1888","d","2","1","1","5","27","10","0","0","0","2"
"2151","d","3","1","0","6","54","21","0","0","0","2"
"300","d","2","1","1","7","44","60","0","0","0","2"
"2709","d","2","1","1","8","42","49","0","0","0","2"
"1692","d","2","1","1","9","73","91","0","0","0","2"
"1341","d","2","1","1","10","90","25","0","0","0","2"
"1790","d","2","1","1","11","18","74","0","0","0","2"
"568","d","3","1","0","12","55","38","0","0","0","2"
"2326","d","3","1","0","13","1","88","0","0","0","2"
"1161","d","4","1","2","14","63","93","0","0","0","2"
"2736","d","2","1","1","15","59","16","0","0","0","2"
"1666","d","2","1","1","16","22","57","0","0","0","2"
"1408","d","3","1","0","17","57","86","0","0","0","2"
"962","d","3","1","0","18","79","15","0","0","0","2"
"1036","d","2","1","1","19","17","20","0","0","0","2"
"390","d","2","1","1","20","85","40","0","0","0","2"
"53277","j","0","0","-1","21","95","8","1","0","1","2"
"11152","j","3","0","0","22","82","24","0","0","0","2"
"3900","j","3","0","0","23","95","48","1","0","0","2"
"7859","k","3","0","0","24","93","40","0","0","1","2"
"8522","k","3","0","0","25","64","56","0","0","1","2"
"6007","j","3","0","0","26","74","80","1","0","0","2"
"5851","k","3","0","0","27","67","40","0","0","1","2"
"8937","k","3","0","0","28","97","73","0","0","1","2"
"8264","j","3","0","0","29","74","20","1","0","0","2"
"5907","k","3","0","0","30","87","30","0","0","1","2"
"3405","j","3","0","0","31","25","90","0","0","0","2"
"6092","k","3","0","0","32","65","17","0","0","1","2"
"7775","j","3","0","0","33","12","97","0","0","0","2"
"2844","k","3","0","0","34","30","65","1","0","1","2"
"4950","j","3","0","0","35","17","71","1","0","0","2"
"3542","j","3","0","0","36","54","33","1","0","0","2"
"7375","j","3","0","0","37","70","84","1","0","0","2"
"3369","j","3","0","0","38","72","62","0","0","0","2"
"4903","j","3","0","0","39","12","59","0","0","0","2"
"4918","k","3","0","0","40","96","21","1","0","1","2"
"41288","","","","","","","","","","",""
"39356","","","","","","","","","","",""
"null","null","-1","0","-1","43","25","39","0","0","0","2"
"null","null","-1","1","-1","44","55","95","1","0","1","2"
"null","null","-1","0","-1","45","63","26","0","0","1","2"
"null","null","-1","1","-1","46","43","81","0","0","0","2"
"null","null","-1","1","-1","47","99","47","1","0","1","2"
"null","null","-1","1","-1","48","48","86","1","0","1","2"
"1011","k","0","0","-1","49","57","0","0","0","0","2"
"1396","k","3","0","0","50","97","51","1","0","1","2"
"null","null","-1","1","-1","51","94","6","0","0","0","2"
"null","null","-1","1","-1","52","52","2","1","0","0","2"
"891","d","2","1","1","53","59","85","0","0","1","2"
"null","null","-1","0","-1","54","59","72","1","0","0","2"
"1324","k","0","0","-1","55","44","53","0","0","0","2"
"null","null","-1","0","-1","56","64","84","1","0","1","2"
"1484","d","4","1","2","57","26","10","0","0","0","2"
"1088","k","3","0","0","58","41","82","1","0","1","2"
"871","d","4","1","2","59","9","18","1","0","0","2"
"1054","k","0","0","-1","60","67","86","1","0","0","2"
"1921","k","3","0","0","61","51","56","0","0","1","2"
"null","null","-1","1","-1","62","63","5","0","0","1","2"
"1019","d","2","1","1","63","40","13","0","1","1","2"
"1169","j","3","0","0","64","94","24","0","1","0","2"
"null","null","-1","0","-1","65","67","97","1","1","0","2"
"706","k","0","0","-1","66","63","10","1","1","0","2"
"null","null","-1","1","-1","67","51","59","0","1","1","2"
"1244","d","2","1","1","68","16","87","1","1","0","2"
"1056","k","3","0","0","69","38","43","1","1","1","2"
"1190","d","2","1","1","70","18","10","0","1","0","2"
"834","k","0","0","-1","71","96","10","1","1","0","2"
"1016","d","3","1","0","72","5","81","0","1","1","2"
"1231","d","2","1","1","73","31","95","0","1","0","2"
"null","null","-1","0","-1","74","1","61","1","1","1","2"
"743","d","3","1","0","75","55","91","1","1","1","2"
"1086","j","3","0","0","76","27","67","0","1","0","2"
"null","null","-1","1","-1","77","57","49","1","1","1","2"
"785","d","2","1","1","78","86","53","0","1","0","2"
"1832","d","3","1","0","79","8","40","1","1","1","2"
"769","j","3","0","0","80","88","26","0","1","0","2"
"769","k","3","0","0","81","1","73","1","1","1","2"
"1170","j","0","0","-1","82","22","64","0","1","1","2"
"929","j","3","0","0","83","94","44","0","2","0","2"
"null","null","-1","0","-1","84","81","51","1","2","1","2"
"1316","j","0","0","-1","85","39","75","0","2","1","2"
"1906","k","3","0","0","86","17","52","1","2","1","2"
"null","null","-1","1","-1","87","99","74","0","2","0","2"
"1216","k","0","0","-1","88","68","3","1","2","0","2"
"1898","d","2","1","1","89","1","3","1","2","1","2"
"1047","d","3","1","0","90","62","78","0","2","0","2"
"955","j","0","0","-1","91","85","78","0","2","1","2"
"1834","d","4","1","2","92","32","46","1","2","0","2"
"1000","k","3","0","0","93","50","49","1","2","1","2"
"940","d","2","1","1","94","76","97","1","2","1","2"
"910","d","2","1","1","95","69","32","1","2","1","2"
"989","j","3","0","0","96","53","9","0","2","0","2"
"null","null","-1","0","-1","97","66","28","0","2","0","2"
"1905","d","2","1","1","98","11","10","1","2","0","2"
"1823","j","3","0","0","99","93","23","0","2","0","2"
"809","d","2","1","1","100","20","26","0","2","1","2"
"823","d","2","1","1","101","14","69","0","2","1","2"
"760","d","2","1","1","102","44","13","1","2","0","2"
"1818","d","2","1","1","103","95","57","0","3","0","2"
"1559","k","3","0","0","104","58","87","1","3","1","2"
"1237","j","3","0","0","105","61","95","0","3","0","2"
"1250","j","0","0","-1","106","63","86","0","3","1","2"
"1893","d","2","1","1","107","69","52","1","3","0","2"
"null","null","-1","1","-1","108","44","64","0","3","1","2"
"1699","k","0","0","-1","109","90","41","1","3","0","2"
"null","null","-1","0","-1","110","28","9","1","3","0","2"
"1016","k","0","0","-1","111","93","98","1","3","0","2"
"1126","d","2","1","1","112","7","76","0","3","1","2"
"1066","j","3","0","0","113","56","11","0","3","0","2"
"1709","j","0","0","-1","114","83","52","0","3","1","2"
"1321","k","0","0","-1","115","64","42","0","3","0","2"
"830","j","0","0","-1","116","86","58","1","3","1","2"
"1728","d","2","1","1","117","86","54","1","3","0","2"
"880","d","2","1","1","118","19","15","1","3","1","2"
"1512","d","3","1","0","119","13","30","1","3","1","2"
"1781","d","2","1","1","120","9","93","0","3","1","2"
"null","null","-1","1","-1","121","19","27","1","3","0","2"
"null","null","-1","1","-1","122","99","18","0","3","1","2"
"1096","d","3","1","0","123","35","75","0","4","1","2"
"944","d","2","1","1","124","74","18","1","4","1","2"
"746","d","3","1","0","125","57","65","1","4","1","2"
"null","null","-1","1","-1","126","91","66","1","4","0","2"
"1918","d","2","1","1","127","12","6","0","4","1","2"
"null","null","-1","1","-1","128","11","75","1","4","0","2"
"1099","k","3","0","0","129","51","59","1","4","1","2"
"1083","j","3","0","0","130","12","46","0","4","0","2"
"969","j","3","0","0","131","63","34","0","4","0","2"
"1038","j","0","0","-1","132","42","25","0","4","1","2"
"1038","f","2","1","1","133","80","85","1","4","0","2"
"918","k","0","0","-1","134","63","34","1","4","0","2"
"1213","k","3","0","0","135","51","8","1","4","1","2"
"1302","d","3","1","0","136","20","8","0","4","1","2"
"null","null","-1","0","-1","137","1","98","0","4","0","2"
"1626","f","4","1","2","138","6","43","0","4","0","2"
"null","null","-1","0","-1","139","21","66","0","4","0","2"
"805","k","3","0","0","140","8","45","1","4","1","2"
"855","d","3","1","0","141","23","79","1","4","0","2"
"775","j","0","0","-1","142","71","40","0","4","1","2"
"749","d","3","1","0","143","74","27","1","5","0","2"
"null","null","-1","0","-1","144","36","24","1","5","1","2"
"1969","k","0","0","-1","145","37","44","1","5","0","2"
"null","null","-1","0","-1","146","83","33","1","5","0","2"
"710","j","0","0","-1","147","52","40","1","5","1","2"
"844","j","0","0","-1","148","40","25","0","5","1","2"
"1828","k","0","0","-1","149","73","51","1","5","0","2"
"1225","f","2","1","1","150","25","64","1","5","1","2"
"1430","j","0","0","-1","151","98","90","0","5","1","2"
"null","null","-1","1","-1","152","89","85","0","5","0","2"
"null","null","-1","1","-1","153","6","63","0","5","1","2"
"505","k","0","0","-1","154","53","32","0","5","0","2"
"1812","k","0","0","-1","155","11","90","1","5","0","2"
"1900","f","2","1","1","156","28","4","1","5","0","2"
"null","null","-1","1","-1","157","28","80","0","5","0","2"
"null","null","-1","1","-1","158","27","38","0","5","1","2"
"null","null","-1","0","-1","159","38","59","0","5","0","2"
"1884","f","3","1","0","160","67","45","0","5","1","2"
"1953","f","3","1","0","161","82","60","0","5","1","2"
"1983","f","3","1","0","162","10","54","1","5","1","2"
"997","d","2","1","1","163","27","45","0","6","0","2"
"1165","j","0","0","-1","164","50","71","0","6","1","2"
"null","null","-1","1","-1","165","86","27","0","6","0","2"
"1084","d","2","1","1","166","71","90","1","6","1","2"
"990","f","3","1","0","167","51","80","0","6","0","2"
"1788","k","3","0","0","168","21","39","1","6","1","2"
"897","d","4","1","2","169","4","32","0","6","1","2"
"1284","d","2","1","1","170","51","68","1","6","0","2"
"1167","f","3","1","0","171","53","31","1","6","1","2"
"1289","j","0","0","-1","172","47","92","0","6","1","2"
"692","f","3","1","0","173","89","70","1","6","0","2"
"1647","j","3","0","0","174","25","45","0","6","0","2"
"972","j","3","0","0","175","67","9","0","6","0","2"
"1269","j","0","0","-1","176","91","63","1","6","1","2"
"1122","k","0","0","-1","177","9","6","1","6","0","2"
"null","null","-1","0","-1","178","94","89","1","6","1","2"
"979","d","2","1","1","179","83","59","1","6","0","2"
"1717","j","0","0","-1","180","30","71","0","6","1","2"
"1651","j","3","0","0","181","26","20","0","6","0","2"
"907","f","2","1","1","182","24","86","1","6","1","2"
"1337","j","0","0","-1","183","5","84","0","7","1","2"
"1090","d","3","1","0","184","99","23","1","7","1","2"
"1073","f","2","1","1","185","47","0","0","7","0","2"
"1621","j","3","0","0","186","29","90","0","7","0","2"
"1109","d","2","1","1","187","98","49","1","7","0","2"
"1868","j","0","0","-1","188","52","73","0","7","1","2"
"1401","j","3","0","0","189","48","15","1","7","0","2"
"null","null","-1","0","-1","190","16","43","1","7","0","2"
"1670","j","0","0","-1","191","47","40","0","7","1","2"
"1157","f","2","1","1","192","45","90","1","7","0","2"
"1476","k","3","0","0","193","19","57","1","7","1","2"
"1071","d","3","1","0","194","43","25","1","7","0","2"
"1190","f","4","1","2","195","52","50","0","7","1","2"
"1811","k","3","0","0","196","28","42","1","7","1","2"
"926","f","2","1","1","197","31","56","1","7","0","2"
"null","null","-1","0","-1","198","21","12","0","7","1","2"
"864","d","2","1","1","199","62","2","0","7","1","2"
"994","d","3","1","0","200","20","60","0","7","0","2"
"1070","f","4","1","2","201","59","10","0","7","1","2"
"1015","k","0","0","-1","202","78","4","1","7","0","2"
"1000","d","2","1","1","203","36","76","1","8","1","2"
"1419","d","2","1","1","204","95","97","1","8","0","2"
"null","null","-1","0","-1","205","34","11","0","8","1","2"
"null","null","-1","0","-1","206","97","43","1","8","1","2"
"null","null","-1","1","-1","207","71","85","0","8","1","2"
"1996","d","2","1","1","208","33","15","0","8","0","2"
"966","f","2","1","1","209","2","9","1","8","0","2"
"1228","k","3","0","0","210","77","62","1","8","1","2"
"1685","k","0","0","-1","211","3","66","1","8","0","2"
"963","d","2","1","1","212","75","86","0","8","1","2"
"906","d","3","1","0","213","28","0","1","8","0","2"
"1068","j","3","0","0","214","1","38","0","8","0","2"
"936","d","4","1","2","215","30","27","0","8","1","2"
"1161","j","3","0","0","216","29","87","0","8","0","2"
"1800","k","3","0","0","217","49","11","1","8","1","2"
"1211","k","0","0","-1","218","99","63","1","8","0","2"
"1286","d","3","1","0","219","49","88","0","8","0","2"
"null","null","-1","0","-1","220","14","94","1","8","0","2"
"1413","j","0","0","-1","221","51","86","0","8","1","2"
"873","f","4","1","2","222","75","61","0","8","1","2"
"922","j","0","0","-1","223","50","4","0","9","1","2"
"784","f","3","1","0","224","72","82","1","9","1","2"
"949","f","4","1","2","225","52","90","1","9","1","2"
"947","j","3","0","0","226","8","20","0","9","0","2"
"822","k","0","0","-1","227","20","92","1","9","0","2"
"1287","k","0","0","-1","228","39","85","1","9","0","2"
"1527","d","2","1","1","229","90","82","0","9","1","2"
"1362","d","3","1","0","230","66","51","0","9","1","2"
"1551","d","4","1","2","231","58","23","0","9","0","2"
"1145","j","3","0","0","232","95","86","0","9","0","2"
"916","f","2","1","1","233","22","7","1","9","0","2"
"977","j","3","0","0","234","87","98","0","9","0","2"
"1940","d","3","1","0","235","66","13","1","9","1","2"
"null","null","-1","1","-1","236","13","44","0","9","1","2"
"820","f","3","1","0","237","86","64","1","9","0","2"
"null","null","-1","0","-1","238","60","84","0","9","1","2"
"1126","k","3","0","0","239","75","57","1","9","1","2"
"846","k","3","0","0","240","31","1","1","9","1","2"
"905","k","0","0","-1","241","66","79","1","9","0","2"
"836","f","3","1","0","242","53","57","0","9","0","2"
