"rt","key_press","reward","type","marble","trial_num","stim_1","stim_2","change_index","block","changed","marble_set"
"3497.5","d","2","1","0","1","67","82","0","0","0","4"
"1311.9000000357628","d","2","1","0","2","11","52","0","0","0","4"
"2323.599999964237","d","3","1","2","3","72","5","0","0","0","4"
"659.3999999761581","f","2","1","0","4","44","65","0","0","0","4"
"593.8000000119209","f","2","1","0","5","99","3","0","0","0","4"
"675.4000000357628","f","2","1","0","6","66","53","0","0","0","4"
"580.4000000357628","f","2","1","0","7","77","71","0","0","0","4"
"831.8999999761581","f","2","1","0","8","6","54","0","0","0","4"
"858.5","f","3","1","2","9","75","91","0","0","0","4"
"625.5","f","2","1","0","10","39","34","0","0","0","4"
"740.5","f","2","1","0","11","17","97","0","0","0","4"
"957.6000000238419","d","4","1","1","12","52","85","0","0","0","4"
"469","d","2","1","0","13","89","70","0","0","0","4"
"954.5","f","2","1","0","14","51","23","0","0","0","4"
"1681.699999988079","d","4","1","1","15","73","76","0","0","0","4"
"4424.100000023842","d","2","1","0","16","96","26","0","0","0","4"
"685.1999999880791","d","2","1","0","17","94","82","0","0","0","4"
"742.8000000119209","f","3","1","2","18","70","48","0","0","0","4"
"1925.5999999642372","d","2","1","0","19","23","76","0","0","0","4"
"6049.899999976158","d","4","1","1","20","35","56","0","0","0","4"
"9906.300000011921","j","3","0","2","21","42","86","1","0","0","4"
"965","j","3","0","2","22","88","73","1","0","0","4"
"12863.199999988079","j","0","0","-1","23","15","88","1","0","1","4"
"402.5","j","0","0","-1","24","21","15","0","0","1","4"
"2048.400000035763","j","3","0","2","25","38","64","0","0","0","4"
"322","j","0","0","-1","26","70","36","0","0","1","4"
"288.10000002384186","j","0","0","-1","27","27","28","0","0","1","4"
"1960.800000011921","k","3","0","2","28","30","20","1","0","1","4"
"420","k","3","0","2","29","39","1","1","0","1","4"
"314.19999998807907","k","3","0","2","30","8","56","0","0","1","4"
"322.39999997615814","k","0","0","-1","31","16","39","0","0","0","4"
"487.39999997615814","k","0","0","-1","32","97","57","1","0","0","4"
"528.7999999523163","j","0","0","-1","33","89","37","1","0","1","4"
"489.5","k","3","0","2","34","14","88","1","0","1","4"
"371","k","0","0","-1","35","25","10","0","0","0","4"
"689.7000000476837","j","0","0","-1","36","86","51","0","0","1","4"
"564.2999999523163","k","0","0","-1","37","96","6","0","0","0","4"
"451.4000000357628","j","0","0","-1","38","2","68","0","0","1","4"
"356.19999998807907","k","0","0","-1","39","41","68","0","0","0","4"
"354","k","0","0","-1","40","23","30","1","0","0","4"
"36790.60000002384","","","","","","","","","","",""
"2417","","","","","","","","","","",""
"null","null","-1","1","-1","43","78","73","1","0","0","4"
"null","null","-1","0","-1","44","89","80","0","0","1","4"
"597.3000000119209","f","2","1","0","45","42","12","1","0","0","4"
"null","null","-1","0","-1","46","3","92","0","0","0","4"
"null","null","-1","0","-1","47","90","35","0","0","1","4"
"null","null","-1","0","-1","48","67","10","1","0","0","4"
"792.5","f","2","1","0","49","36","16","1","0","1","4"
"null","null","-1","0","-1","50","28","2","1","0","1","4"
"null","null","-1","0","-1","51","54","33","0","0","1","4"
"null","null","-1","0","-1","52","17","33","0","0","0","4"
"737.2999999523163","f","3","1","2","53","75","45","1","0","1","4"
"1039.7999999523163","f","2","1","0","54","24","68","1","0","1","4"
"479.89999997615814","f","2","1","0","55","93","4","1","0","1","4"
"554.0999999642372","f","4","1","1","56","40","15","0","0","0","4"
"591.9000000357628","f","3","1","2","57","62","25","1","0","1","4"
"null","null","-1","0","-1","58","45","54","1","0","0","4"
"610.9000000357628","f","2","1","0","59","72","41","0","0","0","4"
"null","null","-1","0","-1","60","63","38","0","0","0","4"
"846.5","f","2","1","0","61","70","27","0","0","0","4"
"null","null","-1","0","-1","62","77","24","0","0","1","4"
"null","null","-1","0","-1","63","72","26","0","1","1","4"
"806.6999999880791","d","3","1","2","64","1","65","1","1","0","4"
"null","null","-1","0","-1","65","34","6","0","1","1","4"
"549","d","3","1","2","66","50","95","0","1","0","4"
"615.8999999761581","d","4","1","1","67","67","76","1","1","0","4"
"432.19999998807907","d","2","1","0","68","65","77","0","1","1","4"
"null","null","-1","0","-1","69","91","11","1","1","1","4"
"571.3000000119209","d","3","1","2","70","79","64","1","1","0","4"
"null","null","-1","0","-1","71","15","81","0","1","1","4"
"null","null","-1","0","-1","72","14","57","1","1","0","4"
