"rt","key_press","reward","color_reward_index","type","trial_num","stim_1","stim_2","new_stim","change_index","block","changed","marble_set"
"2265.199999988079","f","27","0","1","1","56","62","50","0","0","0","4"
"897.8000000119209","d","26","0","1","2","5","63","77","0","0","0","4"
"1110.8999999761581","f","31","0","1","3","67","79","89","0","0","0","4"
"882.0999999642372","f","31","0","1","4","96","67","22","0","0","0","4"
"539.1999999880791","d","26","0","1","5","93","32","11","0","0","0","4"
"483.89999997615814","d","27","0","1","6","37","29","98","0","0","0","4"
"398","f","27","0","1","7","21","45","61","0","0","0","4"
"342.7999999523163","d","31","0","1","8","74","17","1","0","0","0","4"
"344.39999997615814","d","28","0","1","9","59","52","37","0","0","0","4"
"325.19999998807907","d","28","0","1","10","38","19","12","0","0","0","4"
"494.10000002384186","f","28","0","1","11","52","59","38","0","0","0","4"
"304.10000002384186","f","30","0","1","12","85","77","90","0","0","0","4"
"331.60000002384186","f","31","0","1","13","28","74","79","0","0","0","4"
"337.2999999523163","d","27","0","1","14","62","24","59","0","0","0","4"
"341.5","d","30","0","1","15","58","73","13","0","0","0","4"
"319.10000002384186","d","32","0","1","16","32","83","14","0","0","0","4"
"318.5999999642372","f","32","0","1","17","97","40","48","0","0","0","4"
"365.89999997615814","d","27","0","1","18","27","60","38","0","0","0","4"
"341.69999998807907","f","32","0","1","19","82","96","84","0","0","0","4"
"535.7000000476837","f","30","0","1","20","13","15","97","0","0","0","4"
"2027.8999999761581","k","30","0","0","21","46","49","82","1","0","1","4"
"2229.599999964237","j","30","0","0","22","64","83","72","1","0","0","4"
"1561","j","30","0","0","23","50","69","43","0","0","0","4"
"1711.300000011921","j","30","0","0","24","6","89","17","1","0","0","4"
"1087.9000000357628","j","30","0","0","25","9","52","31","0","0","0","4"
"1145.3999999761581","k","0","0","0","26","85","4","28","0","0","0","4"
"1149.199999988079","k","30","0","0","27","63","64","69","1","0","1","4"
"1098.7999999523163","j","30","0","0","28","26","74","62","0","0","0","4"
"1194.699999988079","k","30","0","0","29","61","84","2","0","0","1","4"
"1144.2999999523163","k","30","0","0","30","13","98","6","1","0","1","4"
