"rt","key_press","reward","color_reward_index","type","trial_num","stim_1","stim_2","new_stim","change_index","block","changed","marble_set"
"7410","f","26","0","1","1","46","51","16","0","0","0","5"
"1293","f","28","0","1","2","94","26","35","0","0","0","5"
"1093","f","26","0","1","3","89","51","69","0","0","0","5"
"1030","f","27","0","1","4","83","62","25","0","0","0","5"
"1106","f","26","0","1","5","78","5","20","0","0","0","5"
"852","f","30","0","1","6","62","7","94","0","0","0","5"
"791","f","30","0","1","7","41","15","82","0","0","0","5"
"868","f","26","0","1","8","27","97","26","0","0","0","5"
"803","f","30","0","1","9","14","6","89","0","0","0","5"
"580","d","27","0","1","10","68","66","27","0","0","0","5"
"664","f","27","0","1","11","50","37","25","0","0","0","5"
"842","f","25","0","1","12","16","0","67","0","0","0","5"
"648","d","29","0","1","13","89","85","3","0","0","0","5"
"411","d","31","0","1","14","74","37","4","0","0","0","5"
"398","f","32","0","1","15","87","96","90","0","0","0","5"
"398","d","31","0","1","16","14","72","79","0","0","0","5"
"99","f","31","0","1","17","48","49","98","0","0","0","5"
"473","f","32","0","1","18","45","39","3","0","0","0","5"
"685","f","35","0","1","19","23","87","75","0","0","0","5"
"475","d","28","0","1","20","52","72","18","0","0","0","5"
"10230","j","0","0","0","21","13","44","67","1","0","1","5"
"3403","j","0","0","0","22","44","29","31","1","0","1","5"
"5086","k","30","0","0","23","27","77","2","0","0","1","5"
"3712","k","30","0","0","24","26","27","14","1","0","1","5"
"1350","k","0","0","0","25","39","21","17","1","0","0","5"
"1627","j","30","0","0","26","53","41","81","0","0","0","5"
"3388","k","0","0","0","27","70","57","29","0","0","0","5"
"2038","j","30","0","0","28","35","18","63","1","0","0","5"
"900","k","0","0","0","29","53","72","27","1","0","0","5"
"1882","j","0","0","0","30","21","40","85","0","0","1","5"
"793","k","30","0","0","31","93","11","41","0","0","1","5"
"1449","k","0","0","0","32","9","69","10","1","0","0","5"
"1871","j","0","0","0","33","68","62","29","1","0","1","5"
"1889","j","30","0","0","34","17","13","43","0","0","0","5"
"1094","k","0","0","0","35","1","85","2","0","0","0","5"
"1220","j","0","0","0","36","94","90","49","0","0","1","5"
"525","k","0","0","0","37","98","39","57","0","0","0","5"
"963","j","0","0","0","38","29","84","68","1","0","1","5"
"1664","k","30","0","0","39","56","30","80","1","0","1","5"
"1311","k","0","0","0","40","69","53","98","0","0","0","5"
"15861","","","","","","","","","","","",""
"7866","","","","","","","","","","","",""
"6447","","","","","","","","","","","",""
"6175","","","","","","","","","","","",""
"6170","","","","","","","","","","","",""
"3360","","","","","","","","","","","",""
"4942","","","","","","","","","","","",""
"2869","","","","","","","","","","","",""
"null","null","-1","3","0","49","84","8","64","1","0","1","5"
"706","k","30","3","0","50","82","94","13","1","0","1","5"
"758","k","30","3","0","51","88","39","97","1","0","1","5"
"571","j","30","3","0","52","42","19","13","1","0","0","5"
"1129","f","33","3","1","53","55","63","77","0","0","0","5"
"1139","f","33","3","1","54","28","64","5","1","0","0","5"
"565","f","27","3","1","55","21","37","8","0","0","1","5"
"576","d","31","3","1","56","7","59","32","0","0","0","5"
"639","d","35","3","1","57","66","83","43","0","0","0","5"
"763","d","31","3","1","58","77","37","72","1","0","0","5"
"1896","k","30","3","0","59","86","89","64","1","0","1","5"
"756","d","32","3","1","60","33","24","10","0","0","0","5"
"480","f","31","3","1","61","68","60","63","1","0","1","5"
"null","null","-1","3","0","62","84","48","74","0","0","1","5"
"843","d","35","3","1","63","41","35","67","0","0","1","5"
"1358","j","0","3","0","64","97","84","25","0","0","1","5"
"793","f","35","3","1","65","26","14","4","0","0","0","5"
"1203","j","30","3","0","66","1","58","53","0","0","0","5"
"964","k","0","3","0","67","14","18","65","1","0","0","5"
"1183","j","0","3","0","68","84","28","82","1","0","1","5"
"1354","k","0","4","0","69","78","74","71","1","1","0","5"
"875","d","31","4","1","70","26","58","23","0","1","0","5"
"1444","j","30","4","0","71","3","52","33","0","1","0","5"
"840","f","38","4","1","72","60","13","61","0","1","1","5"
"530","f","31","4","1","73","93","12","46","1","1","1","5"
"550","f","35","4","1","74","72","67","7","1","1","1","5"
"615","f","29","4","1","75","62","85","17","0","1","0","5"
"567","f","32","4","1","76","37","46","63","1","1","1","5"
"1196","j","0","4","0","77","16","20","18","0","1","1","5"
"768","k","0","4","0","78","32","29","95","0","1","0","5"
"860","j","30","4","0","79","16","82","65","1","1","0","5"
"904","d","34","4","1","80","56","25","3","0","1","0","5"
"1053","k","0","4","0","81","78","17","35","1","1","0","5"
"1674","k","30","4","0","82","69","94","97","1","1","1","5"
"1652","k","30","4","0","83","33","30","89","0","1","1","5"
"1602","k","30","4","0","84","28","97","54","1","1","1","5"
"935","f","36","4","1","85","99","29","41","0","1","1","5"
"1306","j","30","4","0","86","11","47","53","0","1","0","5"
"829","d","39","4","1","87","99","72","36","1","1","0","5"
"812","f","31","4","1","88","20","59","73","1","1","1","5"
"null","null","-1","1","1","89","70","66","69","0","2","1","5"
"1265","j","30","1","0","90","18","35","70","0","2","0","5"
"984","j","30","1","0","91","38","95","1","0","2","0","5"
"901","d","32","1","1","92","49","55","40","0","2","0","5"
"528","f","29","1","1","93","6","4","74","1","2","1","5"
"593","d","27","1","1","94","86","72","57","1","2","1","5"
"510","f","28","1","1","95","16","68","86","1","2","0","5"
"511","d","32","1","1","96","64","65","15","1","2","0","5"
"1389","k","0","1","0","97","48","55","92","0","2","0","5"
"833","f","29","1","1","98","87","38","69","0","2","1","5"
"1124","j","30","1","0","99","65","7","23","0","2","0","5"
"1030","k","30","1","0","100","37","4","73","0","2","1","5"
"758","d","36","1","1","101","87","82","29","1","2","0","5"
"718","d","30","1","1","102","34","89","22","1","2","1","5"
"1392","k","30","1","0","103","61","29","42","0","2","1","5"
"1318","j","30","1","0","104","71","55","38","1","2","0","5"
"1086","k","30","1","0","105","14","49","77","1","2","1","5"
"1206","k","30","1","0","106","44","27","71","0","2","1","5"
"1245","k","30","1","0","107","96","48","75","1","2","1","5"
"952","f","29","1","1","108","10","38","82","1","2","0","5"
"1155","f","32","0","1","109","30","17","79","1","3","0","5"
"1329","j","0","0","0","110","89","82","46","1","3","1","5"
"1368","j","30","0","0","111","83","9","35","1","3","0","5"
"950","d","28","0","1","112","34","37","71","1","3","0","5"
"979","k","0","0","0","113","53","8","88","1","3","0","5"
"1000","j","30","0","0","114","88","31","65","0","3","0","5"
"964","d","28","0","1","115","42","54","77","0","3","0","5"
"920","f","33","0","1","116","9","1","38","0","3","1","5"
"917","d","29","0","1","117","89","83","97","1","3","0","5"
"1484","k","30","0","0","118","11","28","73","0","3","1","5"
"1339","j","0","0","0","119","27","74","41","0","3","1","5"
"853","f","29","0","1","120","6","89","70","1","3","0","5"
"824","d","28","0","1","121","8","16","45","1","3","1","5"
"1472","j","0","0","0","122","23","74","45","0","3","1","5"
"790","k","30","0","0","123","98","35","30","0","3","1","5"
"970","f","32","0","1","124","96","39","6","0","3","1","5"
"714","f","31","0","1","125","20","14","13","1","3","1","5"
"915","f","27","0","1","126","10","83","58","0","3","1","5"
"1079","j","30","0","0","127","53","65","87","0","3","0","5"
"1584","j","30","0","0","128","44","64","93","1","3","0","5"
"1099","d","35","2","1","129","70","78","32","0","4","0","5"
"549","d","35","2","1","130","92","91","29","1","4","1","5"
"1409","k","0","2","0","131","81","27","53","0","4","0","5"
"607","d","37","2","1","132","17","70","18","1","4","1","5"
"867","f","38","2","1","133","7","1","57","0","4","1","5"
"814","d","33","2","1","134","34","52","85","1","4","0","5"
"709","f","36","2","1","135","23","74","95","1","4","1","5"
"864","d","33","2","1","136","8","68","61","1","4","1","5"
"1651","k","30","2","0","137","76","41","26","1","4","1","5"
"1591","k","30","2","0","138","41","31","64","1","4","1","5"
"1018","d","37","2","1","139","66","61","4","0","4","0","5"
"1136","k","30","2","0","140","80","49","28","0","4","1","5"
"972","j","30","2","0","141","69","17","60","0","4","0","5"
"1207","k","0","2","0","142","59","37","65","1","4","0","5"
"1154","j","0","2","0","143","87","89","38","1","4","1","5"
"974","d","34","2","1","144","33","78","97","0","4","0","5"
"null","null","-1","2","0","145","3","54","30","0","4","0","5"
"965","k","0","2","0","146","79","82","39","1","4","0","5"
"934","j","30","2","0","147","22","68","59","0","4","0","5"
"842","d","35","2","1","148","75","23","76","0","4","1","5"
"1324","j","0","2","0","149","72","89","29","0","5","1","5"
"1392","k","30","2","0","150","37","8","77","1","5","1","5"
"null","null","-1","2","0","151","84","24","89","0","5","1","5"
"null","null","-1","2","0","152","59","78","93","1","5","0","5"
"764","j","30","2","0","153","48","46","63","0","5","0","5"
"902","d","31","2","1","154","5","50","55","1","5","1","5"
"1623","k","30","2","0","155","68","42","32","1","5","1","5"
"1008","f","35","2","1","156","41","6","4","0","5","0","5"
"1427","k","30","2","0","157","54","39","4","0","5","1","5"
"998","f","36","2","1","158","28","79","48","1","5","0","5"
"1281","j","30","2","0","159","53","38","48","0","5","0","5"
"1216","k","0","2","0","160","94","43","93","1","5","0","5"
"908","d","33","2","1","161","52","78","45","1","5","1","5"
"987","f","32","2","1","162","69","85","54","0","5","0","5"
"754","f","36","2","1","163","36","64","87","1","5","1","5"
"691","d","35","2","1","164","92","93","5","1","5","0","5"
"967","f","37","2","1","165","28","41","37","1","5","0","5"
"1442","k","30","2","0","166","58","36","48","0","5","1","5"
"842","d","37","2","1","167","29","49","97","0","5","1","5"
"867","d","32","2","1","168","85","65","67","0","5","0","5"
"627","d","31","0","1","169","14","22","35","1","6","0","5"
"777","f","27","0","1","170","27","68","51","0","6","1","5"
"1119","j","0","0","0","171","24","32","93","0","6","1","5"
"1015","f","30","0","1","172","81","7","37","0","6","0","5"
"888","d","28","0","1","173","38","0","65","1","6","0","5"
"1311","k","30","0","0","174","23","29","86","0","6","1","5"
"909","f","27","0","1","175","22","68","32","0","6","1","5"
"637","d","30","0","1","176","6","55","26","1","6","1","5"
"954","d","31","0","1","177","14","70","41","1","6","1","5"
"1165","j","30","0","0","178","96","5","10","0","6","0","5"
"816","d","30","0","1","179","63","15","89","1","6","1","5"
"1488","k","0","0","0","180","40","4","46","0","6","0","5"
"1171","j","30","0","0","181","34","91","22","1","6","0","5"
"1361","j","30","0","0","182","10","24","91","1","6","0","5"
"1345","k","0","0","0","183","57","41","27","1","6","0","5"
"1272","j","30","0","0","184","20","63","75","0","6","0","5"
"1005","f","28","0","1","185","26","84","44","1","6","1","5"
"808","f","32","0","1","186","83","41","51","1","6","1","5"
"1324","j","30","0","0","187","64","21","85","0","6","0","5"
"1480","k","30","0","0","188","95","20","22","0","6","1","5"
"1006","d","28","1","1","189","68","5","44","1","7","0","5"
"null","null","-1","1","0","190","60","30","70","1","7","0","5"
"1089","d","31","1","1","191","70","57","4","0","7","1","5"
"1181","k","30","1","0","192","52","63","71","0","7","1","5"
"1010","f","33","1","1","193","43","39","5","0","7","0","5"
"795","f","32","1","1","194","83","64","62","1","7","0","5"
"975","f","29","1","1","195","83","54","76","0","7","0","5"
"982","k","30","1","0","196","32","70","4","1","7","1","5"
"1292","j","30","1","0","197","27","33","82","0","7","0","5"
"926","f","33","1","1","198","10","88","94","1","7","0","5"
"1173","f","28","1","1","199","79","68","30","0","7","0","5"
"783","d","32","1","1","200","96","90","50","1","7","0","5"
"1104","k","30","1","0","201","61","12","2","0","7","1","5"
"1454","k","30","1","0","202","66","0","36","1","7","1","5"
"1274","k","30","1","0","203","25","36","11","0","7","1","5"
"929","f","28","1","1","204","87","69","77","0","7","1","5"
"1069","k","30","1","0","205","87","78","45","1","7","1","5"
"1072","k","30","1","0","206","20","42","47","1","7","1","5"
"937","f","33","1","1","207","58","32","59","1","7","1","5"
"1112","j","30","1","0","208","84","86","20","0","7","0","5"
"1474","k","30","3","0","209","1","7","19","1","8","1","5"
"1057","f","32","3","1","210","21","70","60","0","8","0","5"
"1117","j","30","3","0","211","33","80","67","0","8","0","5"
"1140","k","30","3","0","212","1","58","78","1","8","1","5"
"843","f","35","3","1","213","49","32","9","0","8","1","5"
"1057","j","30","3","0","214","5","74","9","0","8","0","5"
"910","f","34","3","1","215","83","50","8","1","8","1","5"
"1780","k","0","3","0","216","20","48","61","1","8","0","5"
"735","d","36","3","1","217","13","83","10","0","8","1","5"
"null","null","-1","3","0","218","4","85","42","0","8","1","5"
"780","k","0","3","0","219","91","58","21","1","8","0","5"
"null","null","-1","3","1","220","75","34","53","0","8","0","5"
"null","null","-1","3","1","221","71","76","63","0","8","1","5"
"847","d","32","3","1","222","70","42","19","0","8","0","5"
"1039","d","29","3","1","223","78","54","13","1","8","0","5"
"null","null","-1","3","0","224","11","17","2","1","8","1","5"
"1043","f","38","3","1","225","46","9","74","1","8","1","5"
"1397","k","0","3","0","226","6","69","60","1","8","0","5"
"402","f","29","3","1","227","45","78","41","0","8","1","5"
"39","k","0","3","0","228","11","58","18","1","8","0","5"
"1535","k","30","4","0","229","12","30","82","0","9","1","5"
"1401","f","31","4","1","230","48","55","44","0","9","1","5"
"948","d","40","4","1","231","19","58","91","1","9","1","5"
"1353","j","30","4","0","232","44","32","18","1","9","0","5"
"1271","j","30","4","0","233","66","45","89","1","9","0","5"
"1409","k","30","4","0","234","83","59","37","1","9","1","5"
"1406","j","30","4","0","235","48","78","9","0","9","0","5"
"1117","j","30","4","0","236","43","3","73","0","9","0","5"
"1013","f","29","4","1","237","91","68","74","0","9","1","5"
"1021","f","31","4","1","238","80","28","36","1","9","0","5"
"992","f","35","4","1","239","27","79","39","1","9","1","5"
"1340","k","30","4","0","240","4","61","18","1","9","1","5"
"1158","f","35","4","1","241","72","10","13","0","9","0","5"
"1260","j","30","4","0","242","69","79","24","0","9","0","5"
"1070","j","30","4","0","243","47","85","32","0","9","0","5"
"1501","d","33","4","1","244","61","12","11","0","9","0","5"
"1377","f","32","4","1","245","37","2","84","0","9","0","5"
"null","null","-1","4","0","246","12","36","46","1","9","1","5"
"1199","d","31","4","1","247","62","93","95","1","9","1","5"
"1028","f","35","4","1","248","20","64","42","1","9","1","5"
