"rt","key_press","reward","color_reward_index","type","trial_num","stim_1","stim_2","new_stim","change_index","block","changed","marble_set"
"6339","d","27","0","1","1","48","97","96","0","0","0","4"
"48","d","32","0","1","2","41","75","32","0","0","0","4"
"143","d","35","0","1","3","87","77","33","0","0","0","4"
"413","f","30","0","1","4","19","92","81","0","0","0","4"
"155","d","27","0","1","5","28","19","50","0","0","0","4"
"26013","f","28","0","1","6","7","2","73","0","0","0","4"
"252","d","28","0","1","7","65","78","63","0","0","0","4"
"24","d","35","0","1","8","99","11","81","0","0","0","4"
"123","d","27","0","1","9","62","30","43","0","0","0","4"
"198","d","27","0","1","10","18","25","35","0","0","0","4"
"282","d","33","0","1","11","1","19","12","0","0","0","4"
"222","f","27","0","1","12","84","83","80","0","0","0","4"
"315","f","27","0","1","13","69","48","58","0","0","0","4"
"250","f","26","0","1","14","96","16","13","0","0","0","4"
"62","f","31","0","1","15","8","67","20","0","0","0","4"
"287","d","32","0","1","16","40","24","65","0","0","0","4"
"2458","f","27","0","1","17","80","90","43","0","0","0","4"
"34","d","31","0","1","18","82","2","62","0","0","0","4"
"33","f","30","0","1","19","51","76","32","0","0","0","4"
"158","f","30","0","1","20","46","61","45","0","0","0","4"
"4118","k","0","0","0","21","7","4","86","1","0","0","4"
"1230","k","30","0","0","22","54","43","39","0","0","1","4"
"233","k","0","0","0","23","94","66","31","0","0","0","4"
"277","k","0","0","0","24","41","38","88","1","0","0","4"
"1743","k","30","0","0","25","6","17","16","1","0","1","4"
"999","k","30","0","0","26","72","63","51","1","0","1","4"
"204","k","0","0","0","27","20","71","59","0","0","0","4"
"851","k","0","0","0","28","65","23","64","0","0","0","4"
"206","k","0","0","0","29","75","85","48","0","0","0","4"
"121","k","30","0","0","30","88","64","58","1","0","1","4"
"56","k","30","0","0","31","71","45","84","1","0","1","4"
"112","k","30","0","0","32","58","51","71","0","0","1","4"
"173","k","30","0","0","33","90","59","78","1","0","1","4"
"186","k","0","0","0","34","2","58","80","1","0","0","4"
"253","k","30","0","0","35","28","93","78","0","0","1","4"
"2","k","0","0","0","36","43","93","21","1","0","0","4"
"237","k","30","0","0","37","97","86","40","1","0","1","4"
"239","k","0","0","0","38","3","63","22","1","0","0","4"
"34","k","0","0","0","39","93","34","32","0","0","0","4"
"193","k","30","0","0","40","62","47","80","0","0","1","4"
"10657","","","","","","","","","","","",""
"6507","","","","","","","","","","","",""
"6512","","","","","","","","","","","",""
"4465","","","","","","","","","","","",""
"4071","","","","","","","","","","","",""
"3828","","","","","","","","","","","",""
"null","null","-1","2","1","47","88","21","97","0","0","0","4"
"16","f","32","2","1","48","40","62","79","1","0","1","4"
"null","null","-1","2","0","49","55","95","71","0","0","1","4"
"null","null","-1","2","1","50","81","98","77","0","0","0","4"
"384","f","30","2","1","51","16","0","1","0","0","1","4"
"40","f","35","2","1","52","71","6","11","0","0","0","4"
"null","null","-1","2","0","53","20","46","82","1","0","1","4"
"18","f","31","2","1","54","7","71","30","0","0","0","4"
"null","null","-1","2","0","55","14","20","79","0","0","0","4"
"null","null","-1","2","0","56","65","78","71","1","0","0","4"
"392","k","0","2","0","57","38","30","54","1","0","0","4"
"null","null","-1","2","0","58","56","3","93","1","0","1","4"
"527","f","37","2","1","59","21","66","47","1","0","1","4"
"204","k","0","2","0","60","94","82","77","0","0","0","4"
"108","k","30","2","0","61","3","7","52","1","0","1","4"
"1","f","33","2","1","62","67","44","63","1","0","1","4"
"94","k","30","2","0","63","2","6","20","1","0","1","4"
"94","k","0","2","0","64","15","35","70","1","0","0","4"
"336","d","32","2","1","65","21","82","8","0","0","1","4"
"571","d","31","2","1","66","72","12","11","0","0","0","4"
"394","d","26","0","1","67","72","61","26","0","1","0","4"
"17","f","32","0","1","68","94","50","21","0","1","1","4"
"null","null","-1","0","0","69","40","71","53","0","1","0","4"
"67","d","28","0","1","70","34","54","95","0","1","0","4"
"158","k","0","0","0","71","12","39","84","1","1","0","4"
"143","d","33","0","1","72","19","94","20","1","1","1","4"
"456","k","30","0","0","73","31","3","94","0","1","1","4"
"null","null","-1","0","0","74","23","63","82","0","1","1","4"
"299","k","30","0","0","75","25","13","57","0","1","1","4"
"156","k","30","0","0","76","68","32","35","1","1","1","4"
"null","null","-1","0","1","77","37","60","81","1","1","1","4"
"142","d","30","0","1","78","76","41","93","1","1","0","4"
"418","k","0","0","0","79","30","20","97","0","1","0","4"
"127","k","0","0","0","80","74","53","22","1","1","0","4"
"1932","d","28","0","1","81","84","50","74","1","1","0","4"
"1057","k","30","0","0","82","80","74","60","1","1","1","4"
"206","d","35","0","1","83","9","11","89","0","1","0","4"
"63","f","27","0","1","84","95","27","36","1","1","0","4"
