"rt","key_press","reward","color_reward_index","type","trial_num","stim_1","stim_2","new_stim","change_index","block","changed","marble_set"
"3045","d","28","0","1","1","42","88","14","0","0","0","0"
"2264","f","31","0","1","2","49","67","25","0","0","0","0"
"1170","f","29","0","1","3","8","98","93","0","0","0","0"
"771","f","25","0","1","4","56","0","30","0","0","0","0"
"1090","f","25","0","1","5","77","11","60","0","0","0","0"
"3187","d","26","0","1","6","93","21","83","0","0","0","0"
"1560","f","28","0","1","7","29","35","83","0","0","0","0"
"1125","d","30","0","1","8","77","92","58","0","0","0","0"
"1086","f","27","0","1","9","40","30","71","0","0","0","0"
"4680","f","28","0","1","10","90","55","82","0","0","0","0"
"1160","d","26","0","1","11","71","74","35","0","0","0","0"
"2273","f","30","0","1","12","48","76","32","0","0","0","0"
"1062","d","35","0","1","13","9","32","96","0","0","0","0"
"1702","d","28","0","1","14","34","4","18","0","0","0","0"
"983","d","27","0","1","15","62","77","91","0","0","0","0"
"890","f","31","0","1","16","40","88","97","0","0","0","0"
"671","f","27","0","1","17","18","36","69","0","0","0","0"
"999","d","29","0","1","18","33","3","40","0","0","0","0"
"255","d","28","0","1","19","31","73","56","0","0","0","0"
"546","f","27","0","1","20","88","81","54","0","0","0","0"
"9655","k","30","0","0","21","40","32","96","0","0","1","0"
"7701","k","30","0","0","22","23","51","31","1","0","1","0"
"2498","k","30","0","0","23","55","29","80","0","0","1","0"
"5046","k","30","0","0","24","29","40","39","1","0","1","0"
"5295","k","0","0","0","25","47","45","38","0","0","0","0"
"8076","k","0","0","0","26","93","24","33","1","0","0","0"
"3214","k","30","0","0","27","18","4","45","1","0","1","0"
"6997","j","30","0","0","28","22","72","71","1","0","0","0"
"1749","k","30","0","0","29","43","13","67","1","0","1","0"
"3482","j","0","0","0","30","92","60","3","0","0","1","0"
"2778","k","30","0","0","31","44","9","35","1","0","1","0"
"2076","j","30","0","0","32","44","84","79","1","0","0","0"
"2593","k","0","0","0","33","94","14","57","1","0","0","0"
"1513","k","30","0","0","34","91","39","16","0","0","1","0"
"1294","k","0","0","0","35","96","50","88","1","0","0","0"
