"rt","key_press","reward","color_reward_index","type","trial_num","stim_1","stim_2","new_stim","change_index","block","changed","marble_set"
"2363","d","28","0","1","1","84","15","43","0","0","0","1"
"2452","f","32","0","1","2","61","43","85","0","0","0","1"
"969","d","27","0","1","3","21","86","55","0","0","0","1"
"654","f","32","0","1","4","17","66","88","0","0","0","1"
"823","d","30","0","1","5","3","36","90","0","0","0","1"
"688","f","26","0","1","6","80","47","29","0","0","0","1"
"877","d","30","0","1","7","58","50","5","0","0","0","1"
"646","f","26","0","1","8","55","51","39","0","0","0","1"
"734","d","35","0","1","9","9","34","8","0","0","0","1"
"764","f","27","0","1","10","94","90","48","0","0","0","1"
"656","d","27","0","1","11","78","68","35","0","0","0","1"
"1079","f","32","0","1","12","66","39","62","0","0","0","1"
"1095","f","28","0","1","13","41","8","50","0","0","0","1"
"749","d","27","0","1","14","18","42","47","0","0","0","1"
"624","d","35","0","1","15","99","80","27","0","0","0","1"
"283","d","28","0","1","16","84","21","65","0","0","0","1"
"596","f","29","0","1","17","66","94","35","0","0","0","1"
"1751","d","30","0","1","18","92","47","46","0","0","0","1"
"636","f","28","0","1","19","38","46","5","0","0","0","1"
"767","d","32","0","1","20","13","37","34","0","0","0","1"
"4620","k","0","0","0","21","47","66","34","1","0","0","1"
"3531","k","0","0","0","22","5","84","43","1","0","0","1"
"2214","k","30","0","0","23","20","76","84","1","0","1","1"
"1844","j","30","0","0","24","64","5","36","1","0","0","1"
"1515","j","30","0","0","25","26","47","72","0","0","0","1"
"2200","j","30","0","0","26","91","16","24","1","0","0","1"
"2546","k","30","0","0","27","21","78","55","1","0","1","1"
"2281","k","0","0","0","28","63","16","38","0","0","0","1"
"2949","k","0","0","0","29","92","67","12","0","0","0","1"
"1650","k","30","0","0","30","40","94","58","1","0","1","1"
"1772","k","30","0","0","31","62","52","77","0","0","1","1"
"1566","k","30","0","0","32","85","75","97","0","0","1","1"
"1445","k","0","0","0","33","54","88","61","0","0","0","1"
"1491","j","30","0","0","34","75","82","7","0","0","0","1"
"1630","k","30","0","0","35","53","17","67","1","0","1","1"
"1434","k","30","0","0","36","10","69","81","1","0","1","1"
"1360","j","30","0","0","37","19","25","63","0","0","0","1"
"1853","k","0","0","0","38","17","79","38","1","0","0","1"
"1421","k","30","0","0","39","55","89","66","0","0","1","1"
"1626","k","30","0","0","40","21","85","11","0","0","1","1"
"17322","","","","","","","","","","","",""
"9129","","","","","","","","","","","",""
"19559","","","","","","","","","","","",""
"6234","","","","","","","","","","","",""
"null","null","-1","3","1","45","16","29","36","1","0","1","1"
"null","null","-1","3","0","46","76","37","26","0","0","1","1"
"null","null","-1","3","0","47","43","94","93","0","0","0","1"
"1578","d","32","3","1","48","94","5","87","1","0","0","1"
"1357","k","30","3","0","49","82","64","35","0","0","1","1"
"1221","d","32","3","1","50","70","60","24","1","0","1","1"
"1139","d","30","3","1","51","38","27","96","0","0","1","1"
"1327","j","30","3","0","52","86","85","18","0","0","0","1"
"1367","d","32","3","1","53","33","62","71","1","0","1","1"
"1438","d","31","3","1","54","7","61","43","1","0","0","1"
"1313","d","31","3","1","55","31","15","24","1","0","1","1"
"1281","j","30","3","0","56","72","23","27","0","0","0","1"
"1296","d","32","3","1","57","98","65","19","1","0","1","1"
"1187","j","30","3","0","58","74","92","15","0","0","0","1"
"1372","k","0","3","0","59","67","10","59","1","0","0","1"
"1279","d","32","3","1","60","6","81","60","1","0","0","1"
"1520","j","30","3","0","61","14","88","37","0","0","0","1"
"1141","d","31","3","1","62","34","44","67","0","0","0","1"
"1225","k","30","3","0","63","75","30","58","0","0","1","1"
"1203","k","30","3","0","64","39","36","44","1","0","1","1"
"1218","d","37","2","1","65","66","64","46","0","1","1","1"
"1199","d","34","2","1","66","56","66","81","1","1","1","1"
"1376","k","0","2","0","67","96","15","5","1","1","0","1"
"1251","j","30","2","0","68","26","83","54","0","1","0","1"
"1390","d","32","2","1","69","90","52","13","0","1","1","1"
"1439","k","0","2","0","70","77","46","31","1","1","0","1"
"1356","j","30","2","0","71","87","67","98","0","1","0","1"
"1437","j","30","2","0","72","61","15","80","1","1","0","1"
"1406","d","31","2","1","73","5","6","93","1","1","0","1"
"1264","d","32","2","1","74","90","49","17","0","1","1","1"
"1343","d","31","2","1","75","72","71","55","0","1","0","1"
"1266","j","30","2","0","76","64","46","86","0","1","0","1"
"1422","k","30","2","0","77","31","15","54","1","1","1","1"
"1503","d","33","2","1","78","73","42","54","0","1","1","1"
"1236","d","32","2","1","79","62","76","83","1","1","1","1"
"1992","d","40","2","1","80","99","80","74","0","1","1","1"
"1081","j","30","2","0","81","71","5","7","0","1","0","1"
"1283","d","34","2","1","82","94","39","72","1","1","1","1"
"1484","k","0","2","0","83","49","69","73","1","1","0","1"
"981","k","30","2","0","84","92","70","39","1","1","1","1"
"1531","k","30","2","0","85","48","88","46","0","2","1","1"
"1076","j","30","2","0","86","4","87","79","0","2","0","1"
"1198","k","0","2","0","87","25","2","62","1","2","0","1"
"1320","k","30","2","0","88","74","79","51","0","2","1","1"
"1258","d","33","2","1","89","65","58","2","0","2","0","1"
"1295","d","31","2","1","90","69","98","24","0","2","1","1"
"1196","k","0","2","0","91","81","32","27","1","2","0","1"
"null","null","-1","2","1","92","87","51","3","1","2","1","1"
"1686","f","35","2","1","93","82","7","57","0","2","0","1"
"1295","f","34","2","1","94","46","89","62","1","2","1","1"
"1487","j","0","2","0","95","59","88","24","0","2","1","1"
"1484","k","30","2","0","96","46","0","45","0","2","1","1"
"1813","j","30","2","0","97","27","43","16","1","2","0","1"
"1189","d","31","2","1","98","5","1","68","1","2","0","1"
"1248","f","33","2","1","99","87","12","70","0","2","0","1"
"1066","d","36","2","1","100","67","64","16","0","2","0","1"
"1233","d","33","2","1","101","59","7","26","1","2","1","1"
"1357","k","0","2","0","102","85","74","27","1","2","0","1"
"1384","j","0","2","0","103","17","84","47","1","2","1","1"
"1375","d","33","2","1","104","65","80","1","1","2","1","1"
"1126","d","26","3","1","105","11","29","42","0","3","0","1"
"1095","d","32","3","1","106","15","19","3","1","3","1","1"
"1715","j","0","3","0","107","8","35","12","1","3","1","1"
"1219","d","28","3","1","108","27","68","97","1","3","0","1"
"1108","d","33","3","1","109","57","10","3","0","3","1","1"
"751","d","35","3","1","110","66","19","10","0","3","1","1"
"1964","j","30","3","0","111","99","8","54","0","3","0","1"
"1185","d","29","3","1","112","83","85","63","1","3","1","1"
"1094","d","26","3","1","113","11","47","40","0","3","1","1"
"1388","j","30","3","0","114","20","30","53","1","3","0","1"
"1031","j","0","3","0","115","83","68","65","0","3","1","1"
"1419","k","0","3","0","116","8","91","55","1","3","0","1"
"1313","k","0","3","0","117","93","49","34","1","3","0","1"
"1312","f","28","3","1","118","9","5","74","0","3","0","1"
"1203","d","34","3","1","119","58","28","5","0","3","1","1"
"1013","d","32","3","1","120","33","21","76","1","3","0","1"
"1377","j","30","3","0","121","17","56","26","0","3","0","1"
"1199","j","0","3","0","122","41","18","22","0","3","1","1"
"1233","k","30","3","0","123","67","79","81","1","3","1","1"
"1397","k","0","3","0","124","54","47","85","1","3","0","1"
"1326","k","30","4","0","125","3","36","93","1","4","1","1"
"1442","k","30","4","0","126","9","97","96","0","4","1","1"
"1127","d","31","4","1","127","62","44","25","0","4","0","1"
"1213","d","36","4","1","128","53","78","35","0","4","0","1"
"1312","d","31","4","1","129","28","22","53","0","4","1","1"
"1295","d","30","4","1","130","5","54","14","0","4","1","1"
"null","null","-1","4","0","131","40","65","35","1","4","0","1"
"1168","j","0","4","0","132","29","5","4","1","4","1","1"
"1228","k","30","4","0","133","24","67","6","1","4","1","1"
"1363","k","0","4","0","134","29","62","92","1","4","0","1"
"1300","j","30","4","0","135","38","45","21","0","4","0","1"
"1343","d","31","4","1","136","81","46","54","1","4","1","1"
"966","d","31","4","1","137","44","32","59","1","4","1","1"
"1483","k","30","4","0","138","81","60","46","1","4","1","1"
"1468","k","0","4","0","139","67","78","96","1","4","0","1"
"1437","d","31","4","1","140","55","49","43","0","4","0","1"
"1015","d","28","4","1","141","16","35","88","0","4","0","1"
"1464","d","30","4","1","142","97","0","21","0","4","1","1"
"1479","j","30","4","0","143","68","46","54","1","4","0","1"
