"rt","key_press","reward","color_reward_index","type","trial_num","stim_1","stim_2","new_stim","change_index","block","changed","marble_set"
"63","k","30","2","0","201","19","44","52","0","7","1","4"
"185","d","34","2","1","202","89","46","49","1","7","1","4"
"185","j","30","4","0","203","2","56","11","0","8","0","4"
"174","k","30","4","0","204","16","89","82","1","8","1","4"
"221","d","35","4","1","205","74","78","89","1","8","1","4"
"56","j","30","4","0","206","27","66","91","0","8","0","4"
"222","d","35","4","1","207","50","0","67","1","8","1","4"
"161","k","30","4","0","208","89","56","34","1","8","1","4"
"289","f","31","4","1","209","94","35","40","0","8","1","4"
"33","k","0","4","0","210","89","14","80","1","8","0","4"
"91","f","29","4","1","211","97","68","33","1","8","0","4"
"193","k","0","4","0","212","28","83","35","0","8","0","4"
"124","f","34","4","1","213","57","98","23","0","8","0","4"
"77","j","0","4","0","214","20","91","17","0","8","1","4"
"191","k","30","4","0","215","78","65","51","0","8","1","4"
"250","d","32","4","1","216","92","17","31","1","8","1","4"
"179","f","32","4","1","217","2","92","63","0","8","0","4"
"350","f","32","4","1","218","35","46","41","0","8","0","4"
"247","k","30","4","0","219","3","89","1","1","8","1","4"
"null","null","-1","4","1","220","90","61","75","1","8","1","4"
"627","f","31","4","1","221","9","4","72","0","8","0","4"
"106","j","30","4","0","222","39","67","84","1","8","0","4"
"178","k","30","1","0","223","23","26","33","1","9","1","4"
"23","d","31","1","1","224","75","29","55","1","9","1","4"
"93","k","30","1","0","225","49","66","8","0","9","1","4"
"64","k","0","1","0","226","8","65","35","0","9","0","4"
"164","f","30","1","1","227","10","42","79","0","9","0","4"
"171","f","27","1","1","228","81","37","25","0","9","1","4"
"104","j","30","1","0","229","97","95","5","0","9","0","4"
"267","f","33","1","1","230","28","29","85","1","9","1","4"
"114","j","30","1","0","231","46","39","38","1","9","0","4"
"384","k","30","1","0","232","40","29","87","0","9","1","4"
"172","d","30","1","1","233","22","97","58","0","9","1","4"
"28","d","36","1","1","234","87","75","4","1","9","1","4"
"264","d","36","1","1","235","99","13","69","1","9","0","4"
"73","k","0","1","0","236","31","59","28","1","9","0","4"
"174","d","28","1","1","237","93","95","35","0","9","0","4"
"126","k","30","1","0","238","89","22","57","1","9","1","4"
"116","k","30","1","0","239","27","29","61","0","9","1","4"
"20","f","36","1","1","240","61","9","1","1","9","0","4"
"244","k","0","1","0","241","39","12","50","0","9","0","4"
"220","d","28","1","1","242","85","86","30","1","9","0","4"
