"rt","key_press","reward","color_reward_index","type","trial_num","stim_1","stim_2","new_stim","change_index","block","changed","marble_set"
"37118","d","27","0","1","1","27","33","50","0","0","0","4"
"24","f","26","0","1","2","3","86","17","0","0","0","4"
"1637","d","30","0","1","3","76","71","39","0","0","0","4"
"1045","d","26","0","1","4","91","16","19","0","0","0","4"
"944","f","27","0","1","5","67","28","7","0","0","0","4"
"113","f","25","0","1","6","17","11","19","0","0","0","4"
"991","d","29","0","1","7","33","37","54","0","0","0","4"
"4236","d","33","0","1","8","1","6","34","0","0","0","4"
"1349","d","26","0","1","9","47","29","52","0","0","0","4"
"2397","d","30","0","1","10","58","4","66","0","0","0","4"
"2892","f","26","0","1","11","43","91","4","0","0","0","4"
"1053","f","35","0","1","12","36","87","81","0","0","0","4"
"1550","d","27","0","1","13","54","52","35","0","0","0","4"
"1077","f","33","0","1","14","78","1","43","0","0","0","4"
"599","f","29","0","1","15","1","98","26","0","0","0","4"
"92","d","32","0","1","16","43","44","76","0","0","0","4"
"895","d","31","0","1","17","88","2","84","0","0","0","4"
"952","d","28","0","1","18","46","61","63","0","0","0","4"
"1038","f","30","0","1","19","17","61","76","0","0","0","4"
"991","f","28","0","1","20","82","73","28","0","0","0","4"
"14475","k","0","0","0","21","88","32","85","1","0","0","4"
"2252","k","30","0","0","22","50","64","68","1","0","1","4"
"1478","j","30","0","0","23","7","40","51","0","0","0","4"
"1437","k","30","0","0","24","10","82","48","0","0","1","4"
"1699","k","30","0","0","25","63","41","90","1","0","1","4"
"1701","j","0","0","0","26","46","18","23","0","0","1","4"
"2366","j","30","0","0","27","92","44","11","0","0","0","4"
"1668","k","30","0","0","28","9","44","6","1","0","1","4"
"1525","j","30","0","0","29","6","42","14","1","0","0","4"
"2012","j","30","0","0","30","29","72","78","1","0","0","4"
"1461","j","30","0","0","31","96","27","94","0","0","0","4"
"1526","j","30","0","0","32","16","7","9","1","0","0","4"
"1556","j","30","0","0","33","4","79","64","0","0","0","4"
"1115","k","0","0","0","34","14","53","33","1","0","0","4"
"1683","k","30","0","0","35","19","53","91","0","0","1","4"
"1670","k","30","0","0","36","52","72","6","0","0","1","4"
"1541","k","30","0","0","37","34","50","78","0","0","1","4"
"1854","j","30","0","0","38","22","55","39","0","0","0","4"
"2840","k","30","0","0","39","45","97","4","1","0","1","4"
"1981","k","30","0","0","40","45","47","12","0","0","1","4"
"33791","","","","","","","","","","","",""
"47793","","","","","","","","","","","",""
"30672","","","","","","","","","","","",""
"7633","","","","","","","","","","","",""
"null","null","-1","3","1","45","57","37","7","0","0","0","4"
"null","null","-1","3","0","46","16","14","33","1","0","0","4"
"1477","k","30","3","0","47","73","39","9","1","0","1","4"
"1852","k","0","3","0","48","94","64","28","0","0","0","4"
"1545","k","0","3","0","49","1","40","36","1","0","0","4"
"null","null","-1","3","0","50","40","44","56","1","0","0","4"
"null","null","-1","3","1","51","32","23","78","1","0","0","4"
"1580","j","30","3","0","52","28","84","21","0","0","0","4"
"1186","j","30","3","0","53","81","96","32","0","0","0","4"
"null","null","-1","3","1","54","1","93","42","1","0","1","4"
"null","null","-1","3","1","55","9","67","53","0","0","1","4"
"1319","k","30","3","0","56","98","42","34","1","0","1","4"
"null","null","-1","3","0","57","74","16","76","0","0","1","4"
"null","null","-1","3","1","58","41","0","23","1","0","1","4"
"null","null","-1","3","1","59","87","78","40","0","0","1","4"
"null","null","-1","3","1","60","44","90","21","0","0","0","4"
"1393","j","0","3","0","61","40","32","21","0","0","1","4"
"null","null","-1","3","1","62","48","36","9","1","0","1","4"
"null","null","-1","3","1","63","57","21","37","1","0","0","4"
"null","null","-1","3","1","64","52","74","89","0","0","1","4"
"1785","j","30","1","0","65","71","36","72","0","1","0","4"
"null","null","-1","1","1","66","54","51","86","0","1","0","4"
"360","j","0","1","0","67","43","93","87","0","1","1","4"
"null","null","-1","1","1","68","23","16","27","1","1","0","4"
"1288","j","30","1","0","69","86","53","76","0","1","0","4"
"640","j","30","1","0","70","82","86","1","1","1","0","4"
"1386","k","30","1","0","71","13","20","93","1","1","1","4"
"null","null","-1","1","1","72","11","25","63","1","1","1","4"
"null","null","-1","1","1","73","71","92","26","1","1","0","4"
"686","k","0","1","0","74","17","68","88","1","1","0","4"
"null","null","-1","1","1","75","3","2","9","0","1","1","4"
"842","k","30","1","0","76","77","90","56","1","1","1","4"
"null","null","-1","1","1","77","86","92","1","0","1","1","4"
"null","null","-1","1","1","78","91","46","4","0","1","1","4"
"null","null","-1","1","1","79","58","94","64","0","1","1","4"
"null","null","-1","1","1","80","90","69","77","0","1","0","4"
"1656","j","30","1","0","81","5","24","89","1","1","0","4"
"633","j","0","1","0","82","83","5","64","0","1","1","4"
"786","k","30","1","0","83","96","3","89","1","1","1","4"
"null","null","-1","1","1","84","35","70","95","1","1","0","4"
"866","k","0","2","0","85","51","49","77","1","2","0","4"
"null","null","-1","2","1","86","71","58","55","0","2","0","4"
"722","k","0","2","0","87","51","37","46","1","2","0","4"
"null","null","-1","2","1","88","49","58","95","1","2","1","4"
"null","null","-1","2","1","89","8","33","90","1","2","1","4"
"null","null","-1","2","1","90","86","13","63","0","2","1","4"
"null","null","-1","2","1","91","92","54","26","1","2","1","4"
"692","j","30","2","0","92","98","55","33","1","2","0","4"
"null","null","-1","2","1","93","10","25","43","0","2","0","4"
"699","j","0","2","0","94","70","24","69","1","2","1","4"
"719","k","0","2","0","95","54","11","94","1","2","0","4"
"1569","j","30","2","0","96","40","32","63","0","2","0","4"
"null","null","-1","2","1","97","3","81","23","1","2","1","4"
"619","j","0","2","0","98","53","79","49","0","2","1","4"
"null","null","-1","2","1","99","93","36","53","1","2","0","4"
"967","k","0","2","0","100","13","31","81","0","2","0","4"
"null","null","-1","2","1","101","39","20","32","0","2","0","4"
"1121","k","30","2","0","102","61","97","73","0","2","1","4"
