"rt","key_press","reward","color_reward_index","type","trial_num","stim_1","stim_2","new_stim","change_index","block","changed","marble_set"
"1795","d","32","0","1","1","96","75","39","0","0","0","1"
"936","f","26","0","1","2","53","16","94","0","0","0","1"
"637","d","28","0","1","3","60","48","81","0","0","0","1"
"390","d","35","0","1","4","9","89","31","0","0","0","1"
"561","d","26","0","1","5","72","37","52","0","0","0","1"
"23","f","28","0","1","6","9","22","80","0","0","0","1"
"453","f","29","0","1","7","49","56","44","0","0","0","1"
"1123","f","29","0","1","8","51","89","74","0","0","0","1"
"1061","d","30","0","1","9","75","93","93","0","0","0","1"
"608","f","26","0","1","10","6","5","72","0","0","0","1"
"1029","f","27","0","1","11","77","45","32","0","0","0","1"
"515","f","27","0","1","12","66","30","89","0","0","0","1"
"270","f","35","0","1","13","44","9","74","0","0","0","1"
"577","f","35","0","1","14","14","9","77","0","0","0","1"
"890","d","28","0","1","15","59","94","53","0","0","0","1"
"873","d","29","0","1","16","94","8","54","0","0","0","1"
"466","d","28","0","1","17","22","76","83","0","0","0","1"
"530","f","26","0","1","18","44","69","35","0","0","0","1"
"1077","f","30","0","1","19","6","77","50","0","0","0","1"
"2827","d","28","0","1","20","26","47","49","0","0","0","1"
"4108","k","30","0","0","21","26","8","43","0","0","1","1"
"1975","k","0","0","0","22","52","58","9","0","0","0","1"
"3638","k","0","0","0","23","28","50","62","1","0","0","1"
"3388","k","30","0","0","24","42","21","34","1","0","1","1"
"842","j","30","0","0","25","90","2","70","1","0","0","1"
"948","k","30","0","0","26","38","48","20","1","0","1","1"
"1577","j","30","0","0","27","2","59","85","0","0","0","1"
"1014","k","30","0","0","28","15","64","76","0","0","1","1"
"1732","k","30","0","0","29","36","72","68","1","0","1","1"
"1638","j","0","0","0","30","59","14","7","0","0","1","1"
"996","j","30","0","0","31","60","65","71","0","0","0","1"
"1483","k","0","0","0","32","10","41","82","1","0","0","1"
"1849","j","0","0","0","33","84","36","30","1","0","1","1"
"141","k","0","0","0","34","44","8","73","0","0","0","1"
"2286","k","0","0","0","35","27","33","82","0","0","0","1"
"1668","k","30","0","0","36","83","71","3","0","0","1","1"
"1530","k","0","0","0","37","24","69","39","1","0","0","1"
"1280","k","30","0","0","38","13","54","45","1","0","1","1"
"1733","j","30","0","0","39","71","4","93","0","0","0","1"
"1670","k","30","0","0","40","2","50","39","1","0","1","1"
"47529","","","","","","","","","","","",""
"3242","","","","","","","","","","","",""
"null","null","-1","0","1","43","43","33","62","1","0","1","1"
"1061","k","30","0","0","44","83","1","50","1","0","1","1"
"1294","d","31","0","1","45","64","57","45","0","0","0","1"
