"rt","key_press","reward","color_reward_index","type","trial_num","stim_1","stim_2","new_stim","change_index","block","changed","marble_set"
"10495","d","26","0","1","1","91","49","38","0","0","0","3"
"3404","d","27","0","1","2","68","53","55","0","0","0","3"
"72","f","29","0","1","3","5","89","42","0","0","0","3"
"2064","f","32","0","1","4","56","66","17","0","0","0","3"
"1674","f","28","0","1","5","47","44","1","0","0","0","3"
"848","d","32","0","1","6","17","80","7","0","0","0","3"
"1075","d","30","0","1","7","63","55","98","0","0","0","3"
"1006","f","29","0","1","8","14","56","3","0","0","0","3"
"1555","d","30","0","1","9","95","36","60","0","0","0","3"
"55","f","28","0","1","10","76","46","5","0","0","0","3"
"1154","d","29","0","1","11","89","16","67","0","0","0","3"
"544","f","31","0","1","12","36","82","73","0","0","0","3"
"346","f","26","0","1","13","5","51","79","0","0","0","3"
"965","f","30","0","1","14","83","61","88","0","0","0","3"
"747","d","30","0","1","15","95","78","85","0","0","0","3"
"810","d","28","0","1","16","42","20","77","0","0","0","3"
"716","d","28","0","1","17","34","71","57","0","0","0","3"
"1390","d","28","0","1","18","23","83","9","0","0","0","3"
"1825","d","31","0","1","19","74","24","91","0","0","0","3"
"544","f","29","0","1","20","30","33","42","0","0","0","3"
"6132","k","30","0","0","21","83","74","35","0","0","1","3"
"2044","k","0","0","0","22","52","7","39","0","0","0","3"
"3874","j","0","0","0","23","98","26","61","0","0","1","3"
"3066","k","0","0","0","24","59","22","2","1","0","0","3"
"3699","k","30","0","0","25","81","33","29","1","0","1","3"
"4623","j","0","0","0","26","58","63","56","1","0","1","3"
"4405","k","0","0","0","27","62","25","16","1","0","0","3"
"3530","j","0","0","0","28","18","28","11","0","0","1","3"
"2061","k","0","0","0","29","24","86","28","0","0","0","3"
"7681","j","30","0","0","30","13","85","25","1","0","0","3"
"14500","k","30","0","0","31","44","46","51","1","0","1","3"
"10265","k","0","0","0","32","6","37","23","0","0","0","3"
"3310","k","0","0","0","33","95","27","30","1","0","0","3"
"530","j","0","0","0","34","77","7","44","1","0","1","3"
"4199","k","30","0","0","35","78","6","12","1","0","1","3"
"5481","k","30","0","0","36","13","41","80","0","0","1","3"
"3466","j","30","0","0","37","12","71","17","0","0","0","3"
"4405","j","30","0","0","38","32","31","20","0","0","0","3"
"1259","k","0","0","0","39","18","25","56","1","0","0","3"
"2904","j","0","0","0","40","64","89","80","0","0","1","3"
"30575","","","","","","","","","","","",""
"31786","","","","","","","","","","","",""
"15052","","","","","","","","","","","",""
"4165","","","","","","","","","","","",""
"6861","","","","","","","","","","","",""
"4806","","","","","","","","","","","",""
"6685","","","","","","","","","","","",""
"5776","","","","","","","","","","","",""
"14976","","","","","","","","","","","",""
"3651","","","","","","","","","","","",""
"null","null","-1","1","1","51","80","95","40","1","0","1","3"
"null","null","-1","1","0","52","45","43","23","0","0","0","3"
"null","null","-1","1","1","53","78","70","77","1","0","0","3"
"null","null","-1","1","1","54","17","36","51","1","0","0","3"
"null","null","-1","1","0","55","79","47","80","1","0","0","3"
"null","null","-1","1","1","56","25","81","36","1","0","1","3"
"null","null","-1","1","1","57","63","61","98","0","0","1","3"
"null","null","-1","1","0","58","99","5","65","0","0","1","3"
"1113","f","30","1","1","59","87","60","24","1","0","0","3"
"null","null","-1","1","1","60","52","7","74","0","0","0","3"
"null","null","-1","1","0","61","4","53","68","0","0","0","3"
"null","null","-1","1","0","62","42","27","28","1","0","1","3"
"null","null","-1","1","0","63","18","71","65","1","0","1","3"
"1138","k","30","1","0","64","84","15","33","1","0","1","3"
"1978","k","30","1","0","65","70","57","85","0","0","1","3"
"null","null","-1","1","1","66","89","0","93","1","0","0","3"
"1252","d","30","1","1","67","42","13","1","0","0","1","3"
"null","null","-1","1","1","68","24","82","84","0","0","0","3"
"null","null","-1","1","0","69","95","29","2","0","0","1","3"
"1292","k","0","1","0","70","96","36","76","0","0","0","3"
"null","null","-1","0","1","71","97","83","4","0","1","0","3"
"211","d","28","0","1","72","23","62","25","1","1","0","3"
"1381","k","30","0","0","73","39","37","30","0","1","1","3"
"null","null","-1","0","0","74","96","47","22","0","1","1","3"
"91","k","30","0","0","75","39","92","64","1","1","1","3"
"1326","f","28","0","1","76","2","84","58","1","1","1","3"
"1903","k","0","0","0","77","7","1","61","1","1","0","3"
"1153","k","30","0","0","78","72","70","89","1","1","1","3"
"952","d","27","0","1","79","90","71","33","0","1","1","3"
"1544","k","0","0","0","80","24","73","63","1","1","0","3"
"null","null","-1","0","0","81","70","31","16","0","1","0","3"
"1553","d","32","0","1","82","32","11","71","0","1","1","3"
"1780","f","31","0","1","83","25","88","26","0","1","0","3"
"1577","d","30","0","1","84","92","36","9","0","1","0","3"
"1702","k","0","0","0","85","74","92","16","0","1","0","3"
"1185","k","0","0","0","86","91","26","63","1","1","0","3"
"1560","k","30","0","0","87","56","13","54","1","1","1","3"
"589","d","28","0","1","88","34","23","75","1","1","1","3"
"1404","d","26","0","1","89","72","30","3","0","1","1","3"
"1264","d","31","0","1","90","49","34","74","1","1","0","3"
"1108","d","35","3","1","91","43","82","34","1","2","0","3"
"null","null","-1","3","1","92","62","45","71","1","2","1","3"
"1453","k","0","3","0","93","2","68","35","0","2","0","3"
"null","null","-1","3","0","94","12","25","63","0","2","1","3"
"null","null","-1","3","0","95","86","83","62","1","2","1","3"
"null","null","-1","3","0","96","34","42","63","1","2","1","3"
"1154","k","30","3","0","97","24","66","11","1","2","1","3"
"125","k","0","3","0","98","82","23","15","0","2","0","3"
"null","null","-1","3","1","99","1","36","56","0","2","0","3"
"1982","f","32","3","1","100","33","6","79","0","2","0","3"
"null","null","-1","3","0","101","15","53","37","1","2","0","3"
"null","null","-1","3","1","102","98","50","7","1","2","0","3"
"null","null","-1","3","1","103","33","57","92","0","2","1","3"
"null","null","-1","3","0","104","27","86","50","1","2","1","3"
"1981","k","30","3","0","105","21","39","6","0","2","1","3"
"1498","f","33","3","1","106","43","57","63","0","2","0","3"
"1684","d","33","3","1","107","63","46","51","0","2","0","3"
"1015","d","29","3","1","108","21","60","89","1","2","0","3"
"1076","k","30","3","0","109","35","12","36","0","2","1","3"
"1373","d","29","3","1","110","78","40","59","1","2","1","3"
"null","null","-1","4","1","111","83","12","87","0","3","1","3"
"1818","k","30","4","0","112","27","92","91","1","3","1","3"
"1262","k","0","4","0","113","77","23","12","0","3","0","3"
"null","null","-1","4","0","114","19","41","67","1","3","0","3"
"1635","d","36","4","1","115","17","20","93","1","3","0","3"
"null","null","-1","4","1","116","85","44","56","0","3","1","3"
"null","null","-1","4","0","117","61","52","42","1","3","1","3"
"null","null","-1","4","0","118","56","31","2","1","3","0","3"
"null","null","-1","4","1","119","6","78","83","1","3","0","3"
"null","null","-1","4","0","120","7","30","68","1","3","1","3"
"null","null","-1","4","1","121","96","14","95","1","3","1","3"
"821","d","28","4","1","122","51","23","33","0","3","1","3"
"null","null","-1","4","1","123","22","82","96","0","3","0","3"
"140","d","34","4","1","124","89","61","79","0","3","0","3"
"null","null","-1","4","1","125","6","3","15","1","3","1","3"
"1670","k","0","4","0","126","11","65","22","0","3","0","3"
"null","null","-1","4","1","127","16","89","41","0","3","1","3"
"1685","k","0","4","0","128","16","79","88","0","3","0","3"
"null","null","-1","4","0","129","68","65","97","0","3","0","3"
"null","null","-1","4","0","130","29","72","24","1","3","1","3"
"1529","d","34","4","1","131","94","95","49","1","4","0","3"
"1967","d","36","4","1","132","66","22","8","1","4","0","3"
"null","null","-1","4","0","133","28","12","77","0","4","0","3"
"null","null","-1","4","0","134","53","15","28","0","4","1","3"
"1997","f","30","4","1","135","25","93","95","0","4","1","3"
"null","null","-1","4","1","136","47","20","80","0","4","0","3"
"null","null","-1","4","1","137","94","74","53","1","4","1","3"
"843","d","31","4","1","138","44","0","29","1","4","1","3"
"null","null","-1","4","0","139","11","44","73","0","4","0","3"
"null","null","-1","4","1","140","81","84","78","1","4","0","3"
"1919","k","30","4","0","141","99","40","26","0","4","1","3"
"1591","f","36","4","1","142","77","17","49","1","4","0","3"
"null","null","-1","4","1","143","11","13","54","0","4","1","3"
"1569","k","0","4","0","144","34","49","9","0","4","0","3"
"null","null","-1","4","0","145","10","79","5","1","4","1","3"
"null","null","-1","4","0","146","81","46","69","1","4","0","3"
"1823","k","0","4","0","147","38","58","42","0","4","0","3"
"1966","k","30","4","0","148","22","1","20","0","4","1","3"
"null","null","-1","4","1","149","99","78","73","1","4","1","3"
"null","null","-1","4","0","150","50","3","5","1","4","1","3"
"1497","d","32","1","1","151","64","67","40","1","5","0","3"
"1339","k","30","1","0","152","47","89","12","1","5","1","3"
"1781","k","0","1","0","153","92","79","82","0","5","0","3"
"1279","d","36","1","1","154","99","35","56","0","5","1","3"
"null","null","-1","1","0","155","50","72","47","1","5","1","3"
"null","null","-1","1","0","156","29","57","47","0","5","0","3"
"null","null","-1","1","1","157","77","98","32","0","5","1","3"
"null","null","-1","1","1","158","78","95","42","0","5","0","3"
"1389","f","30","1","1","159","87","42","17","0","5","1","3"
"1185","f","33","1","1","160","94","32","26","0","5","1","3"
"1734","f","28","1","1","161","16","47","54","1","5","0","3"
"780","f","30","1","1","162","77","46","73","1","5","1","3"
"null","null","-1","1","0","163","30","6","27","0","5","0","3"
"null","null","-1","1","0","164","81","28","66","0","5","0","3"
"1012","k","30","1","0","165","8","13","80","1","5","1","3"
"null","null","-1","1","1","166","60","51","36","1","5","0","3"
"null","null","-1","1","0","167","5","45","34","1","5","0","3"
"null","null","-1","1","0","168","71","47","1","0","5","1","3"
"null","null","-1","1","0","169","51","76","49","1","5","1","3"
"607","f","32","1","1","170","43","74","98","1","5","0","3"
"null","null","-1","0","1","171","91","26","74","1","6","0","3"
"null","null","-1","0","0","172","52","46","64","1","6","1","3"
"998","k","30","0","0","173","78","88","46","1","6","1","3"
"1591","k","30","0","0","174","50","62","53","1","6","1","3"
"1575","k","30","0","0","175","33","37","42","0","6","1","3"
"1606","f","30","0","1","176","21","92","35","0","6","0","3"
"1780","k","0","0","0","177","21","54","82","1","6","0","3"
"null","null","-1","0","0","178","77","57","60","1","6","0","3"
"null","null","-1","0","1","179","71","76","4","0","6","1","3"
"966","d","27","0","1","180","45","24","92","0","6","1","3"
"1956","f","32","0","1","181","63","17","80","0","6","0","3"
"null","null","-1","0","0","182","21","9","19","0","6","0","3"
"1192","f","30","0","1","183","60","7","11","1","6","0","3"
"1712","k","30","0","0","184","70","22","3","0","6","1","3"
"1949","f","27","0","1","185","28","27","41","0","6","1","3"
"1280","f","30","0","1","186","63","3","76","1","6","1","3"
"1575","f","30","0","1","187","39","76","81","0","6","0","3"
"1855","f","27","0","1","188","41","27","3","1","6","0","3"
"1530","k","0","0","0","189","47","0","23","0","6","0","3"
"null","null","-1","0","0","190","36","8","24","1","6","1","3"
"null","null","-1","2","1","191","48","9","28","1","7","0","3"
"1312","d","36","2","1","192","74","89","23","1","7","0","3"
"1075","d","33","2","1","193","65","92","6","1","7","0","3"
"null","null","-1","2","1","194","28","19","69","0","7","1","3"
