"rt","key_press","reward","type","marble","trial_num","stim_1","stim_2","change_index","block","changed","marble_set"
"3120","d","2","1","1","1","35","26","0","0","0","2"
"51","d","4","1","2","2","26","76","0","0","0","2"
"55","f","2","1","1","3","17","78","0","0","0","2"
"48","d","3","1","0","4","24","96","0","0","0","2"
"66","d","2","1","1","5","36","39","0","0","0","2"
"138","d","4","1","2","6","19","2","0","0","0","2"
"109","d","2","1","1","7","29","59","0","0","0","2"
"24","f","2","1","1","8","88","39","0","0","0","2"
"4","f","3","1","0","9","5","82","0","0","0","2"
"99","f","2","1","1","10","43","0","0","0","0","2"
"137","f","2","1","1","11","22","56","0","0","0","2"
"52","d","2","1","1","12","39","50","0","0","0","2"
"128","f","2","1","1","13","63","90","0","0","0","2"
"65","f","4","1","2","14","38","96","0","0","0","2"
"1","d","3","1","0","15","66","21","0","0","0","2"
"70","d","2","1","1","16","82","23","0","0","0","2"
"42","d","2","1","1","17","5","72","0","0","0","2"
"51","d","4","1","2","18","89","83","0","0","0","2"
"125","d","3","1","0","19","65","58","0","0","0","2"
"140","f","2","1","1","20","31","98","0","0","0","2"
"1165","j","3","0","0","21","10","63","0","0","0","2"
"77","j","0","0","-1","22","10","31","0","0","1","2"
"144","j","3","0","0","23","34","15","1","0","0","2"
"145","k","3","0","0","24","76","56","0","0","1","2"
"25","k","0","0","-1","25","54","5","0","0","0","2"
"49","k","3","0","0","26","68","86","1","0","1","2"
"101","k","0","0","-1","27","62","85","1","0","0","2"
"66","k","3","0","0","28","46","79","1","0","1","2"
"23","j","0","0","-1","29","83","23","1","0","1","2"
"74","j","3","0","0","30","51","3","0","0","0","2"
"32","j","0","0","-1","31","35","2","0","0","1","2"
"41","k","0","0","-1","32","1","98","1","0","0","2"
"116","k","0","0","-1","33","36","31","1","0","0","2"
"60","j","3","0","0","34","81","57","0","0","0","2"
"78","j","3","0","0","35","15","58","0","0","0","2"
"116","j","0","0","-1","36","94","34","1","0","1","2"
"95","j","0","0","-1","37","72","77","1","0","1","2"
"71","j","0","0","-1","38","87","38","0","0","1","2"
"78","j","3","0","0","39","42","77","0","0","0","2"
"221","k","3","0","0","40","13","20","0","0","1","2"
"4768","","","","","","","","","","",""
"4038","","","","","","","","","","",""
"4004","","","","","","","","","","",""
"3929","","","","","","","","","","",""
"26959","","","","","","","","","","",""
"3838","","","","","","","","","","",""
"2850","","","","","","","","","","",""
"null","null","-1","1","-1","48","95","43","0","0","0","2"
"18","k","3","0","0","49","48","24","0","0","1","2"
"267","k","3","0","0","50","97","89","0","0","1","2"
"209","k","3","0","0","51","18","34","1","0","1","2"
"21","d","2","1","1","52","14","70","0","0","0","2"
"102","d","2","1","1","53","21","15","1","0","0","2"
"146","d","3","1","0","54","90","43","1","0","1","2"
"189","k","3","0","0","55","16","70","0","0","1","2"
"115","k","0","0","-1","56","93","74","1","0","0","2"
"182","d","2","1","1","57","74","73","0","0","1","2"
"62","k","0","0","-1","58","10","42","0","0","0","2"
"260","d","2","1","1","59","83","76","0","0","1","2"
"230","d","2","1","1","60","85","30","0","0","1","2"
"167","k","0","0","-1","61","5","23","1","0","0","2"
"151","d","3","1","0","62","20","48","1","0","1","2"
"141","d","3","1","0","63","34","41","1","0","0","2"
"18","k","0","0","-1","64","75","56","1","0","0","2"
"191","d","2","1","1","65","83","16","0","0","0","2"
"188","k","3","0","0","66","3","96","1","0","1","2"
"121","k","0","0","-1","67","46","87","1","0","0","2"
"null","null","-1","1","-1","68","33","47","1","1","1","2"
"64","d","3","1","0","69","34","68","0","1","0","2"
"122","k","3","0","0","70","97","94","0","1","1","2"
"41","k","0","0","-1","71","76","89","1","1","0","2"
"132","k","3","0","0","72","89","30","0","1","1","2"
"224","d","3","1","0","73","10","91","1","1","0","2"
"168","d","2","1","1","74","72","55","1","1","0","2"
"59","k","0","0","-1","75","5","2","0","1","0","2"
