"rt","key_press","reward","type","marble","trial_num","stim_1","stim_2","new_stim","change_index","block","changed","marble_set"
"6868","d","2","1","1","1","39","25","3","0","0","0","5"
"6659","d","3","1","2","2","28","90","47","0","0","0","5"
"3283","f","4","1","0","3","44","66","85","0","0","0","5"
"2458","f","4","1","0","4","4","75","29","0","0","0","5"
"4141","d","2","1","1","5","10","60","13","0","0","0","5"
"1086","f","2","1","1","6","21","61","39","0","0","0","5"
"1010","d","3","1","2","7","64","83","8","0","0","0","5"
"999","f","2","1","1","8","11","15","98","0","0","0","5"
"806","f","3","1","2","9","98","1","37","0","0","0","5"
"1046","d","3","1","2","10","97","91","43","0","0","0","5"
"1488","f","2","1","1","11","30","47","72","0","0","0","5"
"1205","d","3","1","2","12","67","64","46","0","0","0","5"
"861","f","2","1","1","13","57","67","43","0","0","0","5"
"862","f","2","1","1","14","93","71","58","0","0","0","5"
"657","f","2","1","1","15","76","57","69","0","0","0","5"
"583","f","2","1","1","16","73","29","32","0","0","0","5"
"590","f","2","1","1","17","41","40","45","0","0","0","5"
"614","f","2","1","1","18","81","26","4","0","0","0","5"
"599","d","3","1","2","19","26","21","27","0","0","0","5"
"561","f","3","1","2","20","2","3","24","0","0","0","5"
"5266","j","0","0","-1","21","45","76","92","0","0","1","5"
"1101","j","3","0","2","22","69","62","43","0","0","0","5"
"967","j","0","0","-1","23","44","31","97","0","0","1","5"
"827","k","0","0","-1","24","87","13","88","1","0","0","5"
"628","k","3","0","2","25","47","6","1","1","0","1","5"
"909","k","3","0","2","26","27","21","47","1","0","1","5"
"725","j","3","0","2","27","8","33","50","0","0","0","5"
"906","k","0","0","-1","28","96","45","90","1","0","0","5"
"7111","j","3","0","2","29","43","34","80","1","0","0","5"
"1747","k","3","0","2","30","3","12","41","1","0","1","5"
"1474","k","3","0","2","31","30","84","56","1","0","1","5"
"1391","j","3","0","2","32","88","15","67","1","0","0","5"
"1151","j","0","0","-1","33","75","55","5","1","0","1","5"
"1503","k","0","0","-1","34","18","80","37","0","0","0","5"
"1487","k","3","0","2","35","90","13","94","0","0","1","5"
"1388","j","3","0","2","36","83","80","82","0","0","0","5"
"1262","j","3","0","2","37","43","11","93","0","0","0","5"
"1218","k","0","0","-1","38","2","55","25","1","0","0","5"
"1288","k","3","0","2","39","80","26","31","0","0","1","5"
"1598","k","3","0","2","40","21","69","68","0","0","1","5"
"6830","","","","","","","","","","","",""
"7468","","","","","","","","","","","",""
"1231","j","3","0","2","43","6","36","76","0","0","0","5"
"null","null","-1","1","-1","44","2","80","4","0","0","0","5"
"824","k","0","0","-1","45","70","59","78","1","0","0","5"
"1184","f","2","1","1","46","42","0","63","1","0","0","5"
"880","k","0","0","-1","47","22","81","38","1","0","0","5"
"859","d","2","1","1","48","69","19","27","1","0","1","5"
"1302","f","2","1","1","49","23","45","56","1","0","1","5"
"1054","k","3","0","2","50","29","82","11","0","0","1","5"
"865","d","3","1","2","51","22","76","95","1","0","1","5"
"null","null","-1","1","-1","52","60","65","79","0","0","1","5"
"1983","f","2","1","1","53","14","20","30","1","0","1","5"
"1018","k","3","0","2","54","26","19","64","1","0","1","5"
"1020","k","0","0","-1","55","96","29","40","0","0","0","5"
"1163","d","2","1","1","56","32","56","86","0","0","1","5"
"570","j","0","0","-1","57","25","33","40","0","0","1","5"
"1000","f","2","1","1","58","7","75","38","1","0","0","5"
"1103","j","0","0","-1","59","52","25","7","1","0","1","5"
"681","d","2","1","1","60","92","77","33","0","0","0","5"
"910","k","0","0","-1","61","34","46","41","0","0","0","5"
"1121","j","3","0","2","62","53","29","81","0","0","0","5"
"970","j","3","0","2","63","74","2","15","0","1","0","5"
"1063","k","0","0","-1","64","50","7","93","1","1","0","5"
"870","f","2","1","1","65","21","27","32","0","1","1","5"
"1000","d","2","1","1","66","72","33","19","1","1","1","5"
"1052","j","3","0","2","67","51","38","46","1","1","0","5"
"912","k","3","0","2","68","29","97","27","1","1","1","5"
"917","k","3","0","2","69","89","42","92","0","1","1","5"
"1088","j","0","0","-1","70","6","43","93","0","1","1","5"
"916","k","3","0","2","71","10","44","69","1","1","1","5"
"892","k","3","0","2","72","47","60","6","1","1","1","5"
"1076","f","2","1","1","73","6","44","95","1","1","1","5"
"426","k","3","0","2","74","58","59","6","0","1","1","5"
"936","f","3","1","2","75","26","53","30","1","1","0","5"
"1048","d","2","1","1","76","29","91","64","0","1","0","5"
"874","f","3","1","2","77","75","42","56","0","1","1","5"
"1123","d","3","1","2","78","25","9","0","1","1","0","5"
"1065","k","0","0","-1","79","8","79","63","0","1","0","5"
"1012","f","2","1","1","80","75","97","12","0","1","0","5"
"1178","d","2","1","1","81","97","57","4","0","1","0","5"
"1003","f","2","1","1","82","58","35","61","1","1","0","5"
"1558","f","2","1","1","83","89","61","35","1","2","1","5"
"857","k","0","0","-1","84","34","97","58","1","2","0","5"
"1042","d","2","1","1","85","61","6","85","0","2","0","5"
"1444","f","2","1","1","86","19","94","56","1","2","0","5"
"980","d","2","1","1","87","89","74","11","0","2","1","5"
"1192","k","0","0","-1","88","22","96","92","0","2","0","5"
"934","j","0","0","-1","89","11","34","47","1","2","1","5"
"1088","f","2","1","1","90","21","4","18","0","2","1","5"
"746","k","3","0","2","91","12","78","39","1","2","1","5"
"1053","f","4","1","0","92","83","52","82","1","2","0","5"
"1315","j","0","0","-1","93","27","84","74","0","2","1","5"
"1031","k","0","0","-1","94","27","70","39","0","2","0","5"
"856","j","0","0","-1","95","38","88","97","1","2","1","5"
"842","k","0","0","-1","96","21","38","58","1","2","0","5"
"908","f","3","1","2","97","39","56","42","0","2","0","5"
"920","k","0","0","-1","98","42","20","86","1","2","0","5"
"1134","f","2","1","1","99","94","27","61","1","2","1","5"
"1478","f","3","1","2","100","5","69","77","0","2","1","5"
"1685","j","0","0","-1","101","84","72","87","0","2","1","5"
"1164","f","4","1","0","102","41","19","97","0","2","0","5"
"1606","f","2","1","1","103","63","25","80","0","3","0","5"
"999","k","3","0","2","104","94","84","36","0","3","1","5"
"966","k","3","0","2","105","28","24","58","0","3","1","5"
"1031","d","2","1","1","106","90","14","79","1","3","0","5"
"982","f","2","1","1","107","99","72","76","0","3","1","5"
"1094","f","2","1","1","108","82","67","28","0","3","0","5"
"1079","k","0","0","-1","109","30","70","28","0","3","0","5"
"1165","f","4","1","0","110","73","29","34","1","3","0","5"
"1045","k","0","0","-1","111","10","15","11","1","3","0","5"
"863","k","3","0","2","112","52","39","89","1","3","1","5"
"1168","f","3","1","2","113","58","68","28","0","3","0","5"
"1034","k","0","0","-1","114","97","53","90","1","3","0","5"
"1063","f","2","1","1","115","50","46","48","1","3","1","5"
"1088","f","3","1","2","116","1","70","52","1","3","0","5"
"1170","k","3","0","2","117","22","36","30","0","3","1","5"
"1199","f","2","1","1","118","55","25","4","1","3","1","5"
"922","k","3","0","2","119","52","31","58","0","3","1","5"
"1092","f","4","1","0","120","73","10","17","1","3","1","5"
"899","k","3","0","2","121","38","44","19","0","3","1","5"
"946","k","0","0","-1","122","9","87","86","1","3","0","5"
"1535","k","0","0","-1","123","17","14","54","1","4","0","5"
"1168","f","3","1","2","124","37","34","71","1","4","1","5"
"1351","k","3","0","2","125","94","71","5","1","4","1","5"
"1123","f","2","1","1","126","82","11","53","1","4","1","5"
"1355","f","3","1","2","127","6","82","88","0","4","1","5"
"1123","d","2","1","1","128","8","81","38","0","4","0","5"
"956","k","0","0","-1","129","23","51","97","0","4","0","5"
"1247","f","3","1","2","130","50","6","16","1","4","0","5"
"1335","k","0","0","-1","131","29","65","4","1","4","0","5"
"1402","f","2","1","1","132","94","75","50","1","4","1","5"
"1032","f","3","1","2","133","77","2","0","0","4","1","5"
"935","k","3","0","2","134","65","93","85","0","4","1","5"
"894","k","3","0","2","135","94","45","69","0","4","1","5"
"1092","f","2","1","1","136","74","91","55","0","4","0","5"
"1074","k","0","0","-1","137","20","93","69","1","4","0","5"
"1070","f","3","1","2","138","93","28","65","0","4","0","5"
"1031","f","2","1","1","139","29","50","16","1","4","1","5"
"1093","k","0","0","-1","140","43","61","2","0","4","0","5"
"990","k","3","0","2","141","90","79","3","1","4","1","5"
"1062","j","3","0","2","142","11","94","94","0","4","0","5"
"1534","k","0","0","-1","143","69","33","19","1","5","0","5"
"965","k","3","0","2","144","82","87","59","0","5","1","5"
"1000","f","2","1","1","145","52","37","49","1","5","0","5"
"989","k","0","0","-1","146","34","88","46","1","5","0","5"
"1020","k","0","0","-1","147","55","20","48","0","5","0","5"
"1178","f","2","1","1","148","92","81","26","1","5","1","5"
"1232","j","3","0","2","149","84","76","32","0","5","0","5"
"1236","f","2","1","1","150","72","32","16","0","5","1","5"
"1284","f","3","1","2","151","33","62","17","1","5","0","5"
"858","k","3","0","2","152","97","20","87","0","5","1","5"
"1014","f","2","1","1","153","78","33","4","0","5","0","5"
"1239","f","2","1","1","154","99","59","28","0","5","1","5"
"1358","k","0","0","-1","155","30","47","57","1","5","0","5"
"1209","f","4","1","0","156","36","1","18","0","5","0","5"
"957","j","0","0","-1","157","62","41","20","1","5","1","5"
"875","k","3","0","2","158","5","22","66","1","5","1","5"
"1175","f","3","1","2","159","74","81","3","1","5","1","5"
"1169","f","4","1","0","160","48","98","32","0","5","1","5"
"1310","f","2","1","1","161","84","47","70","1","5","0","5"
"1057","k","3","0","2","162","79","12","65","0","5","1","5"
"1318","j","0","0","-1","163","2","36","7","0","6","1","5"
"1042","k","0","0","-1","164","57","52","95","0","6","0","5"
"937","f","2","1","1","165","30","75","93","1","6","1","5"
"1141","j","3","0","2","166","59","29","3","0","6","0","5"
"1129","k","0","0","-1","167","79","16","45","1","6","0","5"
"918","f","2","1","1","168","21","46","41","1","6","1","5"
"1229","f","3","1","2","169","24","90","93","1","6","1","5"
"1216","j","0","0","-1","170","99","58","31","1","6","1","5"
"1643","f","4","1","0","171","54","32","53","1","6","1","5"
