"rt","key_press","reward","type","marble","trial_num","stim_1","stim_2","new_stim","change_index","block","changed","marble_set"
"3622","f","2","1","2","1","71","13","28","0","0","0","3"
"122","d","4","1","1","2","57","78","98","0","0","0","3"
"23","f","2","1","2","3","83","85","10","0","0","0","3"
"401","d","2","1","2","4","65","12","92","0","0","0","3"
"264","d","2","1","2","5","2","64","66","0","0","0","3"
"343","d","2","1","2","6","92","61","16","0","0","0","3"
"126","f","3","1","0","7","34","51","28","0","0","0","3"
"36","d","2","1","2","8","23","36","79","0","0","0","3"
"145","f","3","1","0","9","35","72","40","0","0","0","3"
"280","d","2","1","2","10","23","68","38","0","0","0","3"
"341","d","3","1","0","11","20","78","54","0","0","0","3"
"10","d","2","1","2","12","37","64","36","0","0","0","3"
"51","f","4","1","1","13","53","9","14","0","0","0","3"
"58","f","4","1","1","14","75","26","96","0","0","0","3"
"70","d","2","1","2","15","18","62","79","0","0","0","3"
"153","d","2","1","2","16","90","83","27","0","0","0","3"
"138","d","2","1","2","17","42","0","36","0","0","0","3"
"374","d","2","1","2","18","18","6","90","0","0","0","3"
"291","f","2","1","2","19","61","92","53","0","0","0","3"
"548","d","2","1","2","20","26","87","1","0","0","0","3"
"369","j","3","0","0","21","78","29","43","0","0","0","3"
"41","j","3","0","0","22","60","23","95","0","0","0","3"
"404","j","0","0","-1","23","77","66","58","1","0","1","3"
"32","k","0","0","-1","24","11","91","3","0","0","0","3"
"52","j","3","0","0","25","91","76","75","1","0","0","3"
"161","j","0","0","-1","26","71","88","85","0","0","1","3"
"79","k","3","0","0","27","28","37","18","0","0","1","3"
"26","j","3","0","0","28","66","92","21","0","0","0","3"
"18","j","3","0","0","29","39","25","79","1","0","0","3"
"109","j","0","0","-1","30","43","13","83","1","0","1","3"
"90","k","3","0","0","31","69","85","14","0","0","1","3"
"7","k","3","0","0","32","94","63","49","0","0","1","3"
"24","k","3","0","0","33","57","10","36","1","0","1","3"
"108","k","0","0","-1","34","59","52","32","1","0","0","3"
"26","j","3","0","0","35","61","56","66","1","0","0","3"
"93","j","0","0","-1","36","83","10","64","1","0","1","3"
"87","k","0","0","-1","37","77","25","98","0","0","0","3"
"338","j","3","0","0","38","85","90","88","1","0","0","3"
"71","j","0","0","-1","39","48","55","34","1","0","1","3"
"231","j","0","0","-1","40","2","17","58","0","0","1","3"
"4647","","","","","","","","","","","",""
"3597","","","","","","","","","","","",""
"1180","k","3","0","0","43","99","30","48","1","0","1","3"
"49","f","3","1","0","44","68","64","53","0","0","0","3"
"4","d","3","1","0","45","93","36","16","0","0","0","3"
"null","null","-1","0","-1","46","84","10","14","1","0","0","3"
"55","f","2","1","2","47","37","57","10","1","0","0","3"
"640","d","2","1","2","48","45","13","0","0","0","0","3"
"7","k","3","0","0","49","19","89","50","0","0","1","3"
"53","f","3","1","0","50","12","81","31","0","0","1","3"
"184","d","2","1","2","51","91","85","60","1","0","1","3"
"78","j","0","0","-1","52","48","83","17","1","0","1","3"
"92","j","3","0","0","53","46","35","5","0","0","0","3"
"138","j","0","0","-1","54","40","7","90","0","0","1","3"
"62","k","3","0","0","55","10","40","88","1","0","1","3"
"95","k","3","0","0","56","10","92","24","1","0","1","3"
"358","f","2","1","2","57","4","34","58","0","0","1","3"
"13","f","3","1","0","58","78","58","41","0","0","0","3"
"93","k","0","0","-1","59","12","55","80","1","0","0","3"
"42","k","3","0","0","60","48","77","40","0","0","1","3"
"314","f","3","1","0","61","42","93","62","1","0","0","3"
"152","d","3","1","0","62","93","64","31","1","0","0","3"
