"rt","key_press","reward","type","marble","trial_num","stim_1","stim_2","change_index","block","changed","marble_set"
"1650","d","2","1","0","1","37","7","0","0","0","1"
"1025","f","4","1","2","2","77","94","0","0","0","1"
"745","d","3","1","1","3","52","86","0","0","0","1"
"44","f","3","1","1","4","82","61","0","0","0","1"
"971","f","2","1","0","5","14","28","0","0","0","1"
"299","d","3","1","1","6","62","64","0","0","0","1"
"1489","d","3","1","1","7","98","0","0","0","0","1"
"373","d","2","1","0","8","31","87","0","0","0","1"
"864","d","4","1","2","9","66","37","0","0","0","1"
"140","d","4","1","2","10","53","27","0","0","0","1"
"251","d","2","1","0","11","30","10","0","0","0","1"
"95","f","2","1","0","12","6","93","0","0","0","1"
"309","d","2","1","0","13","30","94","0","0","0","1"
"355","f","2","1","0","14","35","80","0","0","0","1"
"152","d","3","1","1","15","47","35","0","0","0","1"
"2470","d","3","1","1","16","88","28","0","0","0","1"
"473","d","3","1","1","17","10","7","0","0","0","1"
"532","f","3","1","1","18","16","63","0","0","0","1"
"1064","d","2","1","0","19","73","79","0","0","0","1"
"881","d","3","1","1","20","78","85","0","0","0","1"
"1791","k","0","0","-1","21","18","58","1","0","0","1"
"1618","j","0","0","-1","22","9","61","0","0","1","1"
"245","k","3","0","1","23","55","16","0","0","1","1"
"802","k","3","0","1","24","65","54","1","0","1","1"
"322","j","0","0","-1","25","40","19","1","0","1","1"
"222","k","3","0","1","26","28","58","1","0","1","1"
"941","k","0","0","-1","27","35","66","0","0","0","1"
"142","j","0","0","-1","28","74","66","0","0","1","1"
"688","k","3","0","1","29","83","82","0","0","1","1"
"10","k","3","0","1","30","64","79","0","0","1","1"
"342","k","0","0","-1","31","76","83","0","0","0","1"
"142","j","3","0","1","32","96","58","0","0","0","1"
"153","k","3","0","1","33","94","46","1","0","1","1"
"252","k","0","0","-1","34","84","72","0","0","0","1"
"425","k","0","0","-1","35","91","46","1","0","0","1"
"653","k","3","0","1","36","7","52","1","0","1","1"
"1003","k","0","0","-1","37","78","28","1","0","0","1"
"123","k","3","0","1","38","41","58","1","0","1","1"
"1309","k","0","0","-1","39","37","81","0","0","0","1"
"119","j","3","0","1","40","21","43","1","0","0","1"
"2433","","","","","","","","","","",""
