"rt","key_press","reward","type","marble","trial_num","stim_1","stim_2","new_stim","change_index","block","changed","marble_set"
"2667","d","2","1","1","1","90","76","14","0","0","0","2"
"856","f","3","1","0","2","47","54","34","0","0","0","2"
"736","d","3","1","0","3","79","35","50","0","0","0","2"
"923","f","2","1","1","4","79","0","34","0","0","0","2"
"908","d","3","1","0","5","36","77","65","0","0","0","2"
"797","f","4","1","2","6","9","49","97","0","0","0","2"
"1026","d","3","1","0","7","97","41","84","0","0","0","2"
"679","f","2","1","1","8","46","68","3","0","0","0","2"
"46","d","3","1","0","9","89","70","15","0","0","0","2"
"765","f","2","1","1","10","77","30","60","0","0","0","2"
"748","d","4","1","2","11","67","11","69","0","0","0","2"
"967","f","3","1","0","12","58","14","22","0","0","0","2"
"809","f","2","1","1","13","99","84","4","0","0","0","2"
"879","f","4","1","2","14","30","50","41","0","0","0","2"
"578","f","2","1","1","15","75","29","53","0","0","0","2"
"677","f","2","1","1","16","29","76","48","0","0","0","2"
"876","f","2","1","1","17","7","50","91","0","0","0","2"
"647","f","2","1","1","18","87","68","13","0","0","0","2"
"583","f","2","1","1","19","62","20","49","0","0","0","2"
"1169","f","2","1","1","20","50","47","15","0","0","0","2"
"2405","j","0","0","-1","21","65","60","1","1","0","1","2"
"1038","k","0","0","-1","22","28","64","78","1","0","0","2"
"245","j","0","0","-1","23","95","4","56","0","0","1","2"
"319","k","0","0","-1","24","17","98","85","0","0","0","2"
"126","j","3","0","0","25","76","68","21","0","0","0","2"
"117","j","0","0","-1","26","18","20","50","1","0","1","2"
"18","j","3","0","0","27","65","43","23","1","0","0","2"
"277","k","3","0","0","28","71","26","5","1","0","1","2"
"399","k","0","0","-1","29","48","36","26","0","0","0","2"
"252","j","3","0","0","30","75","9","76","0","0","0","2"
"187","j","3","0","0","31","17","28","5","0","0","0","2"
"185","j","0","0","-1","32","49","74","93","0","0","1","2"
"28","k","0","0","-1","33","1","8","4","1","0","0","2"
"664","k","3","0","0","34","4","53","42","1","0","1","2"
"928","k","0","0","-1","35","16","21","73","1","0","0","2"
"808","k","3","0","0","36","73","98","78","0","0","1","2"
"937","k","0","0","-1","37","94","62","32","1","0","0","2"
"1116","k","3","0","0","38","31","98","67","1","0","1","2"
"1098","k","3","0","0","39","32","73","80","0","0","1","2"
"207","k","0","0","-1","40","68","88","78","0","0","0","2"
"9606","","","","","","","","","","","",""
"5966","","","","","","","","","","","",""
"4304","","","","","","","","","","","",""
"22580","","","","","","","","","","","",""
"6648","","","","","","","","","","","",""
"null","null","-1","0","-1","46","50","34","43","1","0","1","2"
"1455","j","3","0","0","47","97","51","80","0","0","0","2"
"1950","d","2","1","1","48","24","17","23","0","0","1","2"
"1092","d","3","1","0","49","28","92","60","1","0","0","2"
"871","d","2","1","1","50","81","95","54","1","0","0","2"
"1291","d","2","1","1","51","51","95","13","0","0","0","2"
"1111","k","0","0","-1","52","48","64","28","0","0","0","2"
"1377","k","0","0","-1","53","49","56","76","0","0","0","2"
"765","f","2","1","1","54","90","45","57","1","0","0","2"
"948","k","3","0","0","55","86","22","36","1","0","1","2"
"1052","k","3","0","0","56","15","41","30","1","0","1","2"
"1191","d","4","1","2","57","32","94","22","1","0","0","2"
"1023","k","3","0","0","58","1","93","33","0","0","1","2"
"1152","d","2","1","1","59","84","32","52","0","0","0","2"
"961","k","3","0","0","60","99","81","89","1","0","1","2"
"1024","k","3","0","0","61","86","34","1","1","0","1","2"
"1164","d","2","1","1","62","45","70","44","0","0","1","2"
"966","k","3","0","0","63","39","13","66","0","0","1","2"
"1179","d","3","1","0","64","81","32","33","0","0","0","2"
"1590","d","3","1","0","65","49","71","50","1","0","1","2"
"null","null","-1","1","-1","66","14","32","58","0","1","1","2"
"1584","k","0","0","-1","67","36","95","87","1","1","0","2"
"null","null","-1","0","-1","68","68","41","60","1","1","0","2"
"1304","k","3","0","0","69","70","55","77","0","1","1","2"
"325","k","3","0","0","70","77","4","21","0","1","1","2"
"1983","d","3","1","0","71","28","83","31","0","1","1","2"
"51","f","2","1","1","72","89","87","30","1","1","1","2"
"103","f","3","1","0","73","44","29","95","1","1","0","2"
"340","d","3","1","0","74","57","47","70","0","1","0","2"
"44","f","3","1","0","75","24","28","78","0","1","1","2"
"42","k","3","0","0","76","75","55","85","0","1","1","2"
"11","k","0","0","-1","77","46","12","29","1","1","0","2"
"245","f","2","1","1","78","8","49","55","0","1","0","2"
"1321","k","3","0","0","79","1","4","92","1","1","1","2"
"22","f","2","1","1","80","36","39","47","1","1","0","2"
"167","f","3","1","0","81","66","58","87","0","1","0","2"
"708","k","3","0","0","82","88","97","42","0","1","1","2"
"762","k","0","0","-1","83","1","31","78","1","1","0","2"
"44","f","2","1","1","84","82","14","47","1","1","1","2"
"634","k","0","0","-1","85","25","92","44","1","1","0","2"
"1715","k","3","0","0","86","67","32","1","0","2","1","2"
"103","f","2","1","1","87","88","57","85","0","2","0","2"
"461","f","3","1","0","88","37","75","2","0","2","1","2"
"253","j","0","0","-1","89","61","14","69","0","2","1","2"
"63","f","3","1","0","90","69","13","14","0","2","1","2"
"81","k","3","0","0","91","19","93","54","0","2","1","2"
"352","k","3","0","0","92","68","23","85","1","2","1","2"
"280","f","3","1","0","93","95","2","77","1","2","1","2"
"400","k","0","0","-1","94","78","87","54","0","2","0","2"
"263","f","2","1","1","95","32","26","82","0","2","1","2"
"151","f","3","1","0","96","65","97","12","1","2","0","2"
"229","k","0","0","-1","97","9","67","5","1","2","0","2"
"4","f","2","1","1","98","89","22","48","1","2","0","2"
"522","f","2","1","1","99","32","56","13","1","2","0","2"
"253","k","3","0","0","100","84","22","36","1","2","1","2"
"152","j","3","0","0","101","79","84","74","0","2","0","2"
"924","j","0","0","-1","102","53","95","39","0","2","1","2"
"243","f","2","1","1","103","48","83","73","1","2","0","2"
"410","d","2","1","1","104","6","53","44","1","2","0","2"
"301","k","0","0","-1","105","85","30","25","1","2","0","2"
"1049","d","2","1","1","106","10","87","54","0","3","1","2"
"893","k","0","0","-1","107","32","39","84","1","3","0","2"
"993","k","3","0","0","108","76","17","75","1","3","1","2"
