"rt","key_press","reward","type","marble","trial_num","stim_1","stim_2","new_stim","change_index","block","changed","marble_set"
"3568","f","2","1","0","1","58","84","71","0","0","0","1"
"143","f","3","1","1","2","3","44","13","0","0","0","1"
"3","f","2","1","0","3","35","48","14","0","0","0","1"
"399","d","3","1","1","4","17","90","48","0","0","0","1"
"39","d","2","1","0","5","14","80","82","0","0","0","1"
"4","f","2","1","0","6","59","10","73","0","0","0","1"
"220","d","2","1","0","7","69","76","92","0","0","0","1"
"11","f","2","1","0","8","36","0","58","0","0","0","1"
"155","f","4","1","2","9","58","9","52","0","0","0","1"
"149","f","2","1","0","10","20","0","57","0","0","0","1"
"163","d","3","1","1","11","66","11","58","0","0","0","1"
"165","d","4","1","2","12","1","97","94","0","0","0","1"
"71","d","3","1","1","13","24","79","84","0","0","0","1"
"44","d","2","1","0","14","25","59","19","0","0","0","1"
"393","d","4","1","2","15","49","27","70","0","0","0","1"
"41","d","3","1","1","16","48","70","35","0","0","0","1"
"127","d","2","1","0","17","89","87","18","0","0","0","1"
"114","d","4","1","2","18","29","28","18","0","0","0","1"
"92","f","2","1","0","19","25","79","35","0","0","0","1"
"140","f","2","1","0","20","27","39","85","0","0","0","1"
"2135","k","0","0","-1","21","24","55","42","0","0","0","1"
"381","k","0","0","-1","22","13","25","1","1","0","0","1"
"129","k","0","0","-1","23","24","86","29","1","0","0","1"
"210","k","3","0","1","24","48","96","40","0","0","1","1"
"236","k","3","0","1","25","94","4","90","0","0","1","1"
"256","k","3","0","1","26","70","8","59","0","0","1","1"
"72","k","3","0","1","27","22","78","67","1","0","1","1"
"312","k","0","0","-1","28","58","92","59","1","0","0","1"
"445","k","0","0","-1","29","8","4","71","0","0","0","1"
"316","k","0","0","-1","30","6","29","97","1","0","0","1"
"158","k","0","0","-1","31","78","74","60","0","0","0","1"
"100","k","0","0","-1","32","91","49","96","0","0","0","1"
"3304","k","3","0","1","33","97","96","95","0","0","1","1"
"116","k","3","0","1","34","46","63","88","1","0","1","1"
"103","k","3","0","1","35","43","47","20","0","0","1","1"
"307","k","0","0","-1","36","35","3","14","1","0","0","1"
"230","k","3","0","1","37","92","35","15","1","0","1","1"
"125","k","3","0","1","38","79","64","33","1","0","1","1"
"388","k","3","0","1","39","68","71","12","1","0","1","1"
"113","k","3","0","1","40","82","12","36","1","0","1","1"
"7194","","","","","","","","","","","",""
"3109","","","","","","","","","","","",""
"203","k","0","0","-1","43","97","60","14","0","0","0","1"
"261","k","0","0","-1","44","27","63","54","0","0","0","1"
"323","k","3","0","1","45","46","6","9","1","0","1","1"
"208","k","3","0","1","46","59","43","58","1","0","1","1"
"384","d","3","1","1","47","58","92","68","0","0","1","1"
"601","f","4","1","2","48","75","49","23","1","0","0","1"
"383","k","0","0","-1","49","28","68","48","0","0","0","1"
"129","f","3","1","1","50","60","98","25","0","0","1","1"
"304","f","3","1","1","51","47","6","65","0","0","1","1"
"679","k","3","0","1","52","79","32","77","1","0","1","1"
"119","k","3","0","1","53","74","65","40","0","0","1","1"
"315","f","3","1","1","54","29","84","47","1","0","1","1"
"393","f","2","1","0","55","7","46","82","0","0","1","1"
"46","f","2","1","0","56","99","20","60","1","0","0","1"
"6","k","0","0","-1","57","67","96","9","1","0","0","1"
"114","f","3","1","1","58","25","57","72","1","0","1","1"
"444","k","0","0","-1","59","55","91","16","1","0","0","1"
"897","f","3","1","1","60","11","29","18","0","0","0","1"
"1304","f","2","1","0","61","15","6","30","1","0","0","1"
"456","k","0","0","-1","62","32","23","66","0","0","0","1"
"1427","f","2","1","0","63","8","90","37","0","1","1","1"
"304","k","3","0","1","64","81","60","64","1","1","1","1"
"354","f","3","1","1","65","45","33","5","1","1","0","1"
"552","k","0","0","-1","66","6","80","43","0","1","0","1"
"958","f","2","1","0","67","12","68","18","1","1","0","1"
"447","f","4","1","2","68","37","70","88","1","1","1","1"
"141","f","2","1","0","69","71","91","64","1","1","0","1"
"1889","k","3","0","1","70","90","21","35","0","1","1","1"
"647","f","2","1","0","71","21","23","83","1","1","1","1"
"436","k","0","0","-1","72","81","23","12","1","1","0","1"
"115","f","3","1","1","73","58","55","26","0","1","0","1"
"1945","k","3","0","1","74","51","14","52","0","1","1","1"
"521","f","2","1","0","75","56","5","7","0","1","0","1"
"26","k","0","0","-1","76","58","52","84","0","1","0","1"
"286","k","3","0","1","77","38","35","6","0","1","1","1"
"116","f","2","1","0","78","26","86","19","1","1","1","1"
"1787","f","2","1","0","79","35","36","51","1","1","0","1"
"1007","k","3","0","1","80","64","9","28","0","1","1","1"
"0","k","3","0","1","81","86","45","41","1","1","1","1"
"244","k","0","0","-1","82","72","4","24","0","1","0","1"
"341","f","2","1","0","83","76","3","41","1","2","1","1"
"313","k","3","0","1","84","37","45","64","0","2","1","1"
"161","k","0","0","-1","85","95","85","44","1","2","0","1"
"180","f","2","1","0","86","4","27","77","0","2","0","1"
"130","f","4","1","2","87","37","8","18","1","2","0","1"
"956","f","3","1","1","88","81","33","82","1","2","0","1"
"215","k","0","0","-1","89","17","30","58","0","2","0","1"
"891","f","2","1","0","90","15","3","35","0","2","0","1"
"222","f","3","1","1","91","9","84","87","0","2","1","1"
"563","k","3","0","1","92","72","87","62","0","2","1","1"
"1671","f","2","1","0","93","89","83","66","1","2","0","1"
"null","null","-1","1","-1","94","7","10","51","0","2","0","1"
"null","null","-1","0","-1","95","87","54","3","1","2","1","1"
"136","d","2","1","0","96","22","1","10","0","2","1","1"
"null","null","-1","0","-1","97","76","92","54","0","2","0","1"
"1653","k","3","0","1","98","89","52","78","1","2","1","1"
"1191","k","3","0","1","99","95","73","91","1","2","1","1"
"129","k","0","0","-1","100","81","51","6","1","2","0","1"
"401","f","4","1","2","101","75","13","60","1","2","1","1"
"1629","k","3","0","1","102","35","13","26","0","2","1","1"
"1180","k","0","0","-1","103","63","33","31","1","3","0","1"
"74","k","3","0","1","104","90","36","3","0","3","1","1"
"151","k","0","0","-1","105","7","33","50","0","3","0","1"
"394","f","2","1","0","106","34","75","95","0","3","0","1"
"110","k","3","0","1","107","72","0","85","1","3","1","1"
"452","k","0","0","-1","108","2","46","39","0","3","0","1"
"114","k","0","0","-1","109","11","77","92","1","3","0","1"
"410","k","0","0","-1","110","29","32","27","0","3","0","1"
"867","k","0","0","-1","111","96","98","69","0","3","0","1"
"287","d","3","1","1","112","9","16","44","1","3","1","1"
"145","k","3","0","1","113","77","31","78","0","3","1","1"
"397","f","3","1","1","114","92","57","43","1","3","1","1"
"73","d","3","1","1","115","36","33","94","1","3","1","1"
"111","d","2","1","0","116","37","56","94","0","3","0","1"
"25","d","2","1","0","117","59","12","21","1","3","0","1"
"413","d","2","1","0","118","32","49","88","0","3","0","1"
"16","d","3","1","1","119","56","58","82","1","3","1","1"
"82","d","2","1","0","120","64","62","47","1","3","1","1"
"18","d","3","1","1","121","80","95","41","0","3","1","1"
"146","k","3","0","1","122","49","11","56","1","3","1","1"
"122","k","3","0","1","123","36","45","34","1","4","1","1"
"124","d","3","1","1","124","56","37","44","0","4","1","1"
"326","d","2","1","0","125","59","70","20","0","4","1","1"
"157","d","2","1","0","126","73","20","7","1","4","1","1"
"431","k","3","0","1","127","1","19","0","0","4","1","1"
"1070","k","0","0","-1","128","25","84","15","0","4","0","1"
"217","k","3","0","1","129","73","13","67","0","4","1","1"
"492","f","3","1","1","130","44","4","57","1","4","0","1"
"1021","d","2","1","0","131","51","37","85","1","4","1","1"
"202","d","3","1","1","132","79","9","69","1","4","1","1"
