"rt","key_press","reward","type","marble","trial_num","stim_1","stim_2","new_stim","change_index","block","changed","marble_set"
"3572.899999976158","d","2","1","2","1","23","15","79","0","0","0","0"
"645.6000000238419","f","2","1","2","2","37","48","54","0","0","0","0"
"1925.3999999761581","d","4","1","0","3","40","64","68","0","0","0","0"
"309.7000000476837","f","2","1","2","4","31","57","20","0","0","0","0"
"469.2000000476837","f","3","1","1","5","69","53","17","0","0","0","0"
"949","d","3","1","1","6","58","97","80","0","0","0","0"
"309.89999997615814","d","3","1","1","7","44","85","25","0","0","0","0"
"741.7000000476837","f","3","1","1","8","72","47","93","0","0","0","0"
"485.2000000476837","f","2","1","2","9","90","29","0","0","0","0","0"
"389.10000002384186","d","2","1","2","10","59","38","32","0","0","0","0"
"422.2000000476837","f","4","1","0","11","25","55","53","0","0","0","0"
"325.5","d","2","1","2","12","22","8","27","0","0","0","0"
"293.8000000715256","d","4","1","0","13","92","21","71","0","0","0","0"
"341.60000002384186","d","3","1","1","14","58","28","42","0","0","0","0"
"405","f","4","1","0","15","16","59","59","0","0","0","0"
"357.60000002384186","d","4","1","0","16","31","59","77","0","0","0","0"
"1093.1000000238419","f","2","1","2","17","49","50","27","0","0","0","0"
"309.60000002384186","f","2","1","2","18","38","53","20","0","0","0","0"
"389.10000002384186","f","2","1","2","19","97","64","20","0","0","0","0"
"293.3000000715256","f","4","1","0","20","13","1","44","0","0","0","0"
"5205.700000047684","k","3","0","1","21","35","56","13","0","0","1","0"
"1173.2000000476837","j","3","0","1","22","46","66","10","1","0","0","0"
"997.0999999046326","k","0","0","-1","23","98","3","82","0","0","0","0"
"1349","k","3","0","1","24","59","13","32","1","0","1","0"
"1830.1000000238419","j","3","0","1","25","68","75","30","1","0","0","0"
"1477.2000000476837","k","3","0","1","26","4","20","44","0","0","1","0"
"1589.9000000953674","k","3","0","1","27","75","60","91","1","0","1","0"
"1334.1000000238419","j","3","0","1","28","12","2","93","1","0","0","0"
"1125.3000000715256","j","3","0","1","29","61","15","51","1","0","0","0"
"1781.5","k","0","0","-1","30","46","47","71","1","0","0","0"
"1558","j","3","0","1","31","85","0","91","0","0","0","0"
"1125.7999999523163","j","3","0","1","32","32","64","84","0","0","0","0"
"1397.5","k","3","0","1","33","22","60","37","0","0","1","0"
"1845.8000000715256","j","0","0","-1","34","49","88","14","1","0","1","0"
"2037.7000000476837","k","3","0","1","35","76","85","97","0","0","1","0"
"1381.2000000476837","k","3","0","1","36","27","35","61","1","0","1","0"
"1174.3999999761581","k","3","0","1","37","7","40","66","0","0","1","0"
"1061","j","0","0","-1","38","17","16","71","0","0","1","0"
"1381.7000000476837","k","0","0","-1","39","10","39","43","1","0","0","0"
"1237.8000000715256","j","3","0","1","40","98","17","64","0","0","0","0"
"12382.700000047684","","","","","","","","","","","",""
"5246.600000023842","","","","","","","","","","","",""
"115","d","2","1","2","43","14","65","25","1","0","1","0"
"null","null","-1","0","-1","44","73","56","48","0","0","1","0"
"null","null","-1","1","-1","45","22","82","44","1","0","0","0"
"1031.1000000238419","k","0","0","-1","46","33","68","56","1","0","0","0"
"null","null","-1","0","-1","47","59","63","73","1","0","0","0"
"1618.3999999761581","d","2","1","2","48","55","35","94","0","0","0","0"
"null","null","-1","0","-1","49","10","5","51","0","0","0","0"
"null","null","-1","1","-1","50","21","30","35","1","0","0","0"
"1179.6999999284744","k","0","0","-1","51","90","94","29","0","0","0","0"
"1512.1000000238419","k","3","0","1","52","55","34","35","0","0","1","0"
"1066.3999999761581","k","3","0","1","53","15","9","79","1","0","1","0"
"1448.3000000715256","f","3","1","1","54","59","22","56","1","0","1","0"
"1128.6000000238419","f","2","1","2","55","39","80","1","0","0","1","0"
"1065.2999999523163","f","2","1","2","56","13","95","24","0","0","0","0"
"1192.3999999761581","f","3","1","1","57","83","65","78","0","0","0","0"
"1034.3000000715256","k","3","0","1","58","23","36","45","0","0","1","0"
"890.5","j","3","0","1","59","18","27","34","1","0","0","0"
"1049.8000000715256","k","3","0","1","60","44","21","42","1","0","1","0"
"809","f","2","1","2","61","93","52","11","1","0","1","0"
"1129.8999999761581","f","3","1","1","62","4","24","87","0","0","1","0"
"835.8000000715256","k","3","0","1","63","94","25","88","1","1","1","0"
"762.6000000238419","k","3","0","1","64","24","27","70","0","1","1","0"
"809.7999999523163","f","2","1","2","65","4","23","91","1","1","0","0"
"793.1000000238419","k","0","0","-1","66","36","80","0","1","1","0","0"
"889.6000000238419","k","0","0","-1","67","76","49","47","1","1","0","0"
"968.7999999523163","k","0","0","-1","68","11","2","43","1","1","0","0"
"874.7000000476837","d","2","1","2","69","92","16","81","0","1","0","0"
"826.1000000238419","k","3","0","1","70","61","81","63","0","1","1","0"
"842.0999999046326","k","3","0","1","71","47","61","29","1","1","1","0"
"985.7000000476837","j","0","0","-1","72","81","87","71","0","1","1","0"
"746.8000000715256","d","3","1","1","73","30","17","53","1","1","0","0"
"842.4000000953674","k","0","0","-1","74","10","67","94","0","1","0","0"
"873.3000000715256","d","2","1","2","75","61","98","28","0","1","1","0"
"null","null","-1","1","-1","76","26","54","3","1","1","0","0"
"1922.2000000476837","k","0","0","-1","77","68","91","40","0","1","0","0"
"1066.1000000238419","f","3","1","1","78","4","54","90","1","1","1","0"
"968.7000000476837","f","2","1","2","79","40","11","36","0","1","0","0"
"729.6000000238419","d","2","1","2","80","72","20","31","0","1","1","0"
"906.3000000715256","f","2","1","2","81","55","79","25","0","1","1","0"
"570.2000000476837","d","2","1","2","82","75","28","30","1","1","1","0"
"979.8999999761581","k","3","0","1","83","23","44","88","0","2","1","0"
"761.1000000238419","k","0","0","-1","84","4","98","50","0","2","0","0"
"986.6000000238419","k","0","0","-1","85","85","31","20","1","2","0","0"
"778.5","f","2","1","2","86","25","61","2","0","2","0","0"
"664.7999999523163","d","2","1","2","87","75","28","0","1","2","1","0"
"777","f","2","1","2","88","78","24","0","0","2","0","0"
"1192.6000000238419","f","3","1","1","89","81","79","66","0","2","1","0"
"1080.3999999761581","k","0","0","-1","90","92","35","49","1","2","0","0"
"1272.3000000715256","f","2","1","2","91","66","33","21","1","2","1","0"
"920.5","f","2","1","2","92","77","98","29","1","2","0","0"
"1096.5","d","4","1","0","93","13","8","10","0","2","1","0"
