,Model,Predictive Accuracy,Participant Data,Params
92,BVAE,0.5469689683781024,302208162_20220607.csv,0.0
93,CNN,0.5314857936294282,302208162_20220607.csv,0.0
94,Sparse,0.4785267556823678,302208162_20220607.csv,0.0
95,CPT,0.6198860854435442,3050445599_20220701.csv,
96,MEU,0.509398747197997,3050445599_20220701.csv,
97,BVAE,0.5557859330116044,3050445599_20220701.csv,0.0
98,CNN,0.5462850390344958,3050445599_20220701.csv,0.0
99,Sparse,0.46345180217700493,3050445599_20220701.csv,0.0
100,CPT,0.6954408119425421,3072452500_20220623.csv,
101,MEU,0.5245865387242279,3072452500_20220623.csv,
102,BVAE,0.6527045514520112,3072452500_20220623.csv,0.0
103,CNN,0.6187888255462927,3072452500_20220623.csv,0.0
104,Sparse,0.5781244882181276,3072452500_20220623.csv,0.0
105,CPT,0.5050706177136958,3231145639_20220622.csv,
106,MEU,0.5000000075757576,3231145639_20220622.csv,
107,BVAE,0.5006471260829911,3231145639_20220622.csv,0.0
108,CNN,0.5022627234716673,3231145639_20220622.csv,0.0
109,Sparse,0.4982149727372704,3231145639_20220622.csv,0.0
110,CPT,0.834617649890145,3310926888_20220622.csv,
111,MEU,0.5282537954019058,3310926888_20220622.csv,
112,BVAE,0.5961661582819527,3310926888_20220622.csv,0.0
113,CNN,0.6147746787898871,3310926888_20220622.csv,0.0
114,Sparse,0.5214109569744696,3310926888_20220622.csv,0.0
115,CPT,0.5375602717133049,3437000926_20220623.csv,
116,MEU,0.500000025139063,3437000926_20220623.csv,
117,BVAE,0.5114196595416984,3437000926_20220623.csv,0.0
118,CNN,0.5426625148033297,3437000926_20220623.csv,0.0
119,Sparse,0.4952917203672471,3437000926_20220623.csv,0.0
120,CPT,0.501381662968502,3453896152_20220518.csv,
121,MEU,0.5000000026041667,3453896152_20220518.csv,
122,BVAE,0.49981682357995477,3453896152_20220518.csv,0.0
123,CNN,0.4986078175440323,3453896152_20220518.csv,0.0
124,Sparse,0.5010126424499454,3453896152_20220518.csv,0.0
125,CPT,0.6978939429935367,3525719084_20220607.csv,
126,MEU,0.5000000450680272,3525719084_20220607.csv,
127,BVAE,0.6516719702503769,3525719084_20220607.csv,0.0
128,CNN,0.5789861984391313,3525719084_20220607.csv,0.0
129,Sparse,0.470047536831685,3525719084_20220607.csv,0.0
130,CPT,0.5552853389312351,3545302544_20220623.csv,
131,MEU,0.5553038751050497,3545302544_20220623.csv,
132,BVAE,0.5551619050433703,3545302544_20220623.csv,0.0
133,CNN,0.5337157826594003,3545302544_20220623.csv,0.0
134,Sparse,0.4689916374743173,3545302544_20220623.csv,0.0
135,CPT,0.4999999930940394,3627110067_20220623.csv,
136,MEU,0.4996435497899997,3627110067_20220623.csv,
137,BVAE,0.4999999953087984,3627110067_20220623.csv,0.0
138,CNN,0.4999999880425764,3627110067_20220623.csv,0.0
139,Sparse,0.49999999814009666,3627110067_20220623.csv,0.0
140,CPT,0.5233891930602423,3709436102_20220622.csv,
141,MEU,0.5007173987879978,3709436102_20220622.csv,
142,BVAE,0.4982236252975779,3709436102_20220622.csv,0.0
143,CNN,0.5001700624049008,3709436102_20220622.csv,0.0
144,Sparse,0.4992959519728038,3709436102_20220622.csv,0.0
145,CPT,0.6638337483272987,3774486973_20220702.csv,
146,MEU,0.5000000403348555,3774486973_20220702.csv,
147,BVAE,0.5603947802295314,3774486973_20220702.csv,0.0
148,CNN,0.5188210797721702,3774486973_20220702.csv,0.0
149,Sparse,0.4874589027557965,3774486973_20220702.csv,0.0
150,CPT,0.8056709627876768,3777558888_20220602.csv,
151,MEU,0.5085706275718194,3777558888_20220602.csv,
152,BVAE,0.6312217186925632,3777558888_20220602.csv,0.0
153,CNN,0.6432839295747457,3777558888_20220602.csv,0.0
154,Sparse,0.39210842518484457,3777558888_20220602.csv,0.0
155,CPT,0.505356429355361,3868544605_20220622.csv,
156,MEU,0.5000000062358276,3868544605_20220622.csv,
157,BVAE,0.49985879521488974,3868544605_20220622.csv,0.0
158,CNN,0.4981647987306651,3868544605_20220622.csv,0.0
159,Sparse,0.4997760627498176,3868544605_20220622.csv,0.0
160,CPT,0.5014745357139385,424296399_20220622.csv,
161,MEU,0.5038687257195721,424296399_20220622.csv,
162,BVAE,0.4999559622970494,424296399_20220622.csv,0.0
163,CNN,0.5042677896277492,424296399_20220622.csv,0.0
164,Sparse,0.498579873094479,424296399_20220622.csv,0.0
165,CPT,0.7685229091776629,4302545825_20220607.csv,
166,MEU,0.5432449961395843,4302545825_20220607.csv,
167,BVAE,0.5816805736316302,4302545825_20220607.csv,0.0
168,CNN,0.5969330982199547,4302545825_20220607.csv,0.0
169,Sparse,0.47791540950980327,4302545825_20220607.csv,0.0
170,CPT,0.7875228727584571,4309499885_20220624.csv,
171,MEU,0.5385877302340013,4309499885_20220624.csv,
172,BVAE,0.7394008567043738,4309499885_20220624.csv,0.0
173,CNN,0.6272684788306797,4309499885_20220624.csv,0.0
174,Sparse,0.44418834403030144,4309499885_20220624.csv,0.0
175,CPT,0.5061567140333548,4424042522_20220623.csv,
176,MEU,0.5000000099415205,4424042522_20220623.csv,
177,BVAE,0.5063536395410698,4424042522_20220623.csv,0.0
178,CNN,0.5075560021820594,4424042522_20220623.csv,0.0
179,Sparse,0.4949943184268032,4424042522_20220623.csv,0.0
180,CPT,0.5184220978907103,4522484535_20220602.csv,
181,MEU,0.5192871194043348,4522484535_20220602.csv,
182,BVAE,0.5254031639398998,4522484535_20220602.csv,0.0
183,CNN,0.5067093202137114,4522484535_20220602.csv,0.0
184,Sparse,0.4996646411597989,4522484535_20220602.csv,0.0
185,CPT,0.5169527918421835,4604314752_20220625.csv,
186,MEU,0.5000000171156004,4604314752_20220625.csv,
187,BVAE,0.5057320195428803,4604314752_20220625.csv,0.0
188,CNN,0.5245793719618026,4604314752_20220625.csv,0.0
189,Sparse,0.5118586602302971,4604314752_20220625.csv,0.0
190,CPT,0.7724706628967745,4717805082_20220622.csv,
191,MEU,0.5000000563888889,4717805082_20220622.csv,
192,BVAE,0.7273970195143912,4717805082_20220622.csv,0.0
193,CNN,0.6482590562697513,4717805082_20220622.csv,0.0
194,Sparse,0.5650012125943848,4717805082_20220622.csv,0.0
195,CPT,0.4999999859666738,4737559307_20220623.csv,
196,MEU,0.4999999859679267,4737559307_20220623.csv,
197,BVAE,0.49999997921922895,4737559307_20220623.csv,0.0
198,CNN,0.4999999924081791,4737559307_20220623.csv,0.0
199,Sparse,0.4999999823934702,4737559307_20220623.csv,0.0
200,CPT,0.5031332410305794,4758284626_20220607.csv,
201,MEU,0.5000000068027212,4758284626_20220607.csv,
202,BVAE,0.5005823614936677,4758284626_20220607.csv,0.0
203,CNN,0.5104332286415599,4758284626_20220607.csv,0.0
204,Sparse,0.5075323182817454,4758284626_20220607.csv,0.0
205,CPT,0.52754531078261,4784817211_20220623.csv,
206,MEU,0.5000000189003437,4784817211_20220623.csv,
207,BVAE,0.5243583441150709,4784817211_20220623.csv,0.0
208,CNN,0.5159176281050597,4784817211_20220623.csv,0.0
209,Sparse,0.5010608459876487,4784817211_20220623.csv,0.0
210,CPT,0.5014883364412681,4786413128_20220623.csv,
211,MEU,0.5008253693284169,4786413128_20220623.csv,
212,BVAE,0.4997821628083533,4786413128_20220623.csv,0.0
213,CNN,0.5000272541598094,4786413128_20220623.csv,0.0
