,Model,Predictive Accuracy,Params
113,Logic,0.705555552123179,[ -1.07592092  -3.55971354  -4.38368235 -20.0932623 ]
114,MEU,0.801018120629683,[-100.]
115,CPT,0.8059716562193222,[-100.           -0.32156163]
116,Logic,0.8061224466342671,[ -1.8666517   -2.72110854  -4.42934619 -19.98918853]
117,MEU,0.8299980570992901,[-100.]
118,CPT,0.82974722101429,[-7.64376745e+01 -1.00000000e-03]
119,Logic,0.8599999987462974,[ -1.65438367  -3.47265293  -3.86996248 -19.99953481]
120,MEU,0.8499980570925889,[-100.]
121,CPT,0.8549957559532656,[-100.           -0.55012434]
122,Logic,0.8549999996938119,[ -1.7649897   -2.73738079  -4.65267625 -20.14123674]
123,MEU,0.5360821660800996,[-100.]
124,CPT,0.5700642059793677,[-100.           -1.99600344]
125,Logic,0.5618556679878179,[ -1.55086482  -2.42570907  -5.00742561 -20.07848032]
126,MEU,0.7395816208489535,[-100.]
127,CPT,0.7395602168845055,[-9.89538905e+01 -1.00000000e-03]
128,Logic,0.7395833330971598,[ -1.99999999  -3.00000004  -3.99999998 -20.00000002]
129,MEU,0.8484821311595949,[-100.]
130,CPT,0.8483038685662415,[-8.30831187e+01 -1.00000000e-03]
131,Logic,0.8686868686335663,[ -1.22360882  -3.39983377  -4.47758181 -20.04102469]
132,MEU,0.5555548007449911,[-100.]
133,CPT,0.5569913172187455,[-1.00000000e+02 -6.65332357e-02]
134,Logic,0.5570721367097045,[ -2.00868256  -2.98231182  -4.00900572 -19.99939357]
135,MEU,0.8299980570970564,[-100.]
136,CPT,0.8349778288256787,[-100.           -1.06744944]
137,Logic,0.8299999997320501,[ -2.  -3.  -4. -20.]
138,MEU,0.796702639753066,[-100.]
139,CPT,0.8413174101001974,[-100.   -3.]
140,Logic,0.7967032966126966,[ -2.00000001  -2.99999999  -4.         -20.        ]
141,MEU,0.6721456414611122,[-19.99997182]
142,CPT,0.7288484679038418,[-10.49469894  -3.        ]
143,Logic,0.7225468469851979,[ -2.33452934  -2.39995992  -4.26551071 -19.99929801]
144,MEU,0.5263202644710593,[-6.25478346]
145,CPT,0.5243902210945662,[-94.77265106  -1.82146447]
146,Logic,0.6585365617458621,[ -1.28242401  -4.96834742  -2.74743367 -20.07820403]
147,MEU,0.6219508549753995,[-100.]
148,CPT,0.6584871672427346,[-100.           -1.13386005]
149,Logic,0.658536582689028,[ -1.60548114  -2.40164159  -4.98673362 -20.1516015 ]
150,MEU,0.6875654570971382,[-24.22011014]
151,CPT,0.7369860941859846,[-100.   -3.]
152,Logic,0.6868686869103264,[ -2.00000002  -3.          -4.         -20.        ]
153,MEU,0.6702116530138338,[-100.]
154,CPT,0.7095603055606821,[-100.           -2.55981715]
155,Logic,0.702127657639577,[ -1.4049665   -2.18179198  -5.38978856 -20.137828  ]
156,MEU,0.673468472727538,[-100.]
157,CPT,0.6733906501176036,[-8.04308532e+01 -1.00000000e-03]
158,Logic,0.6836734693347244,[ -1.33856505  -3.43523232  -4.48104971 -20.07353859]
159,MEU,0.7849998505265117,[-100.]
160,CPT,0.7849787515215428,[-7.63538212e+01 -1.00000000e-03]
161,Logic,0.8199999901173534,[ -1.61733659  -3.96096988  -3.42178006 -20.00013361]
162,MEU,0.5699992527531762,[-100.]
163,CPT,0.5499748044579895,[-100.           -1.20661764]
164,Logic,0.5999999899184061,[ -1.69815769  -3.27576524  -4.02246645 -20.01179254]
165,MEU,0.5377823340280209,[-19.99998801]
166,CPT,0.5418962329464548,[-22.54772587  -0.51839992]
167,Logic,0.541237110519393,[ -1.10539203  -2.71534075  -5.17799371 -20.10804716]
168,MEU,0.5567001064831163,[-100.]
169,CPT,0.5822767478558964,[-100.           -1.64020774]
170,Logic,0.5824742265073353,[ -1.32849181  -2.35464645  -5.31638571 -20.1313974 ]
171,MEU,0.8631549056808919,[-100.]
172,CPT,0.8631436332741085,[-1.e+02 -1.e-03]
173,Logic,0.8631578943246114,[ -2.  -3.  -4. -20.]
174,MEU,0.8499980570903554,[-100.]
175,CPT,0.944999842288491,[-100.           -2.30272933]
176,Logic,0.9449999992210172,[ -1.22078289  -2.10666885  -5.70266265 -20.22136701]
177,MEU,0.7979775335413349,[-100.]
178,CPT,0.7859496447813668,[-100.         -1.915779]
179,Logic,0.8080808051769572,[ -1.57826734  -3.29724052  -4.15867872 -20.04671919]
